SURNAME,surname2,cumprop
TOMAS,THOMAN,1
TOMSON,THOMSON,1
TOON,KUHN,1
TUCKER,DUCKER,1
TURNER,TERNER,1
TYLER,TAYLOR,0.5
TYLER,TYLOR,1
TYLOR,TAYLOR,0.5
TYLOR,TYLER,1
WAITE,WIGHT,1
WALKER,WOLKER,0.5
WALKER,WILKER,1
WALLIS,WALSH,1
WALSH,WALLIS,1
WALSHAW,WALTS,0.333333333
WALSHAW,WALTHAM,0.666666667
WALSHAW,WALTHALL,1
WALTHALL,WALTS,0.333333333
WALTHALL,WALTHAM,0.666666667
WALTHALL,WALSHAW,1
WALTHAM,WALTS,0.333333333
WALTHAM,WALTHALL,0.666666667
WALTHAM,WALSHAW,1
WALTS,WALTHAM,0.333333333
WALTS,WALTHALL,0.666666667
WALTS,WALSHAW,1
WATCHON,WATSON,1
WATSON,WATCHON,1
WHITE,WHITES,1
WHITES,WHITE,1
WIGHT,WAITE,1
WILIAM,WILLIAM,0.333333333
WILIAM,WILLIAN,0.666666667
WILIAM,WILLIAMS,1
WILISON,WILSON,0.333333333
WILISON,WILLS,0.666666667
WILISON,WILLISON,1
WILKER,WOLKER,0.5
WILKER,WALKER,1
WILKES,WILKS,0.25
WILKES,WILKINSON,0.5
WILKES,WILKINS,0.75
WILKES,WILKIN,1
WILKIN,WILKS,0.25
WILKIN,WILKINSON,0.5
WILKIN,WILKINS,0.75
WILKIN,WILKES,1
WILKINS,WILKS,0.25
WILKINS,WILKINSON,0.5
WILKINS,WILKIN,0.75
WILKINS,WILKES,1
WILKINSON,WILKS,0.25
WILKINSON,WILKINS,0.5
WILKINSON,WILKIN,0.75
WILKINSON,WILKES,1
WILKS,WILKINSON,0.25
WILKS,WILKINS,0.5
WILKS,WILKIN,0.75
WILKS,WILKES,1
WILLIAM,WILLIAN,0.333333333
WILLIAM,WILLIAMS,0.666666667
WILLIAM,WILIAM,1
WILLIAMS,WILLIAM,0.333333333
WILLIAMS,WILLIAN,0.666666667
WILLIAMS,WILIAM,1
WILLIAN,WILLIAM,0.333333333
WILLIAN,WILLIAMS,0.666666667
WILLIAN,WILIAM,1
WILLISON,WILSON,0.333333333
WILLISON,WILLS,0.666666667
WILLISON,WILISON,1
WILLS,WILSON,0.333333333
WILLS,WILISON,0.666666667
WILLS,WILLISON,1
WILSON,WILLS,0.333333333
WILSON,WILISON,0.666666667
WILSON,WILLISON,1
WOLKER,WALKER,0.5
WOLKER,WILKER,1
WOOD,WOODE,0.5
WOOD,WOODS,1
WOODBURN,WOODMAN,1
WOODE,WOODS,0.5
WOODE,WOOD,1
WOODMAN,WOODBURN,1
WOODS,WOODE,0.5
WOODS,WOOD,1
WRIGHT,RIGHTON,0.25
WRIGHT,RIGHT,0.5
WRIGHT,RIGHTEN,0.75
WRIGHT,BRIGHT,1
YANG,YOUNG,1
YOUNG,YANG,1
