forename,forename2,cumprop,sex
anthonious,anthoy,0.642857143,male
anthonious,anthonius,0.714285714,male
anthonious,anthony,0.785714286,male
anthonious,anthoni,0.857142857,male
anthonious,anthoney,0.928571429,male
anthonious,anthonie,1,male
anthonius,anthon,0.071428571,male
anthonius,antionus,0.142857143,male
anthonius,antonio,0.214285714,male
anthonius,antone,0.285714286,male
anthonius,toni,0.357142857,male
anthonius,anton,0.428571429,male
anthonius,antoni,0.5,male
anthonius,antony,0.571428571,male
anthonius,anthoy,0.642857143,male
anthonius,anthony,0.714285714,male
anthonius,anthonious,0.785714286,male
anthonius,anthoni,0.857142857,male
anthonius,anthoney,0.928571429,male
anthonius,anthonie,1,male
anthony,anthon,0.071428571,male
anthony,antionus,0.142857143,male
anthony,antonio,0.214285714,male
anthony,antone,0.285714286,male
anthony,toni,0.357142857,male
anthony,anton,0.428571429,male
anthony,antoni,0.5,male
anthony,antony,0.571428571,male
anthony,anthoy,0.642857143,male
anthony,anthonius,0.714285714,male
anthony,anthonious,0.785714286,male
anthony,anthoni,0.857142857,male
anthony,anthoney,0.928571429,male
anthony,anthonie,1,male
anthoy,anthon,0.071428571,male
anthoy,antionus,0.142857143,male
anthoy,antonio,0.214285714,male
anthoy,antone,0.285714286,male
anthoy,toni,0.357142857,male
anthoy,anton,0.428571429,male
anthoy,antoni,0.5,male
anthoy,antony,0.571428571,male
anthoy,anthonius,0.642857143,male
anthoy,anthony,0.714285714,male
anthoy,anthonious,0.785714286,male
anthoy,anthoni,0.857142857,male
anthoy,anthoney,0.928571429,male
anthoy,anthonie,1,male
antionus,anthon,0.071428571,male
antionus,antonio,0.142857143,male
antionus,antone,0.214285714,male
antionus,toni,0.285714286,male
antionus,anton,0.357142857,male
antionus,antoni,0.428571429,male
antionus,antony,0.5,male
antionus,anthoy,0.571428571,male
antionus,anthonius,0.642857143,male
antionus,anthony,0.714285714,male
antionus,anthonious,0.785714286,male
antionus,anthoni,0.857142857,male
antionus,anthoney,0.928571429,male
antionus,anthonie,1,male
anton,anthon,0.071428571,male
anton,antionus,0.142857143,male
anton,antonio,0.214285714,male
anton,antone,0.285714286,male
anton,toni,0.357142857,male
anton,antoni,0.428571429,male
anton,antony,0.5,male
anton,anthoy,0.571428571,male
anton,anthonius,0.642857143,male
anton,anthony,0.714285714,male
anton,anthonious,0.785714286,male
anton,anthoni,0.857142857,male
anton,anthoney,0.928571429,male
anton,anthonie,1,male
antone,anthon,0.071428571,male
antone,antionus,0.142857143,male
antone,antonio,0.214285714,male
antone,toni,0.285714286,male
antone,anton,0.357142857,male
antone,antoni,0.428571429,male
antone,antony,0.5,male
antone,anthoy,0.571428571,male
antone,anthonius,0.642857143,male
antone,anthony,0.714285714,male
antone,anthonious,0.785714286,male
antone,anthoni,0.857142857,male
antone,anthoney,0.928571429,male
antone,anthonie,1,male
antoni,anthon,0.071428571,male
antoni,antionus,0.142857143,male
antoni,antonio,0.214285714,male
antoni,antone,0.285714286,male
antoni,toni,0.357142857,male
antoni,anton,0.428571429,male
antoni,antony,0.5,male
antoni,anthoy,0.571428571,male
antoni,anthonius,0.642857143,male
antoni,anthony,0.714285714,male
antoni,anthonious,0.785714286,male
antoni,anthoni,0.857142857,male
antoni,anthoney,0.928571429,male
antoni,anthonie,1,male
antonio,anthon,0.071428571,male
antonio,antionus,0.142857143,male
antonio,antone,0.214285714,male
antonio,toni,0.285714286,male
antonio,anton,0.357142857,male
antonio,antoni,0.428571429,male
antonio,antony,0.5,male
antonio,anthoy,0.571428571,male
antonio,anthonius,0.642857143,male
antonio,anthony,0.714285714,male
antonio,anthonious,0.785714286,male
antonio,anthoni,0.857142857,male
antonio,anthoney,0.928571429,male
antonio,anthonie,1,male
antony,anthon,0.071428571,male
antony,antionus,0.142857143,male
antony,antonio,0.214285714,male
antony,antone,0.285714286,male
antony,toni,0.357142857,male
antony,anton,0.428571429,male
antony,antoni,0.5,male
antony,anthoy,0.571428571,male
antony,anthonius,0.642857143,male
antony,anthony,0.714285714,male
antony,anthonious,0.785714286,male
antony,anthoni,0.857142857,male
antony,anthoney,0.928571429,male
antony,anthonie,1,male
arch,archiebald,0.333333333,male
arch,archibald,0.666666667,male
arch,archie,1,male
archibald,archiebald,0.333333333,male
archibald,archie,0.666666667,male
archibald,arch,1,male
archie,archiebald,0.333333333,male
archie,archibald,0.666666667,male
archie,arch,1,male
archiebald,archibald,0.333333333,male
archiebald,archie,0.666666667,male
archiebald,arch,1,male
arney,arnold,1,male
arnold,arney,1,male
aron,arran,0.333333333,male
aron,aaron,0.666666667,male
aron,arren,1,male
arran,aaron,0.333333333,male
arran,arren,0.666666667,male
arran,aron,1,male
arren,arran,0.333333333,male
arren,aaron,0.666666667,male
arren,aron,1,male
art,auther,0.166666667,male
art,arturo,0.333333333,male
art,athur,0.5,male
art,artur,0.666666667,male
art,artie,0.833333333,male
art,arthur,1,male
arthur,auther,0.166666667,male
arthur,arturo,0.333333333,male
arthur,athur,0.5,male
arthur,artur,0.666666667,male
arthur,artie,0.833333333,male
arthur,art,1,male
artie,auther,0.166666667,male
artie,arturo,0.333333333,male
artie,athur,0.5,male
artie,artur,0.666666667,male
artie,arthur,0.833333333,male
artie,art,1,male
artur,auther,0.166666667,male
artur,arturo,0.333333333,male
artur,athur,0.5,male
artur,artie,0.666666667,male
artur,arthur,0.833333333,male
artur,art,1,male
arturo,auther,0.166666667,male
arturo,athur,0.333333333,male
arturo,artur,0.5,male
arturo,artie,0.666666667,male
arturo,arthur,0.833333333,male
arturo,art,1,male
athur,auther,0.166666667,male
athur,arturo,0.333333333,male
athur,artur,0.5,male
athur,artie,0.666666667,male
athur,arthur,0.833333333,male
athur,art,1,male
augie,agosto,0.166666667,male
augie,austen,0.333333333,male
augie,august,0.5,male
augie,auguste,0.666666667,male
augie,augustine,0.833333333,male
augie,augustus,1,male
august,agosto,0.166666667,male
august,austen,0.333333333,male
august,auguste,0.5,male
august,augie,0.666666667,male
august,augustine,0.833333333,male
august,augustus,1,male
auguste,agosto,0.166666667,male
auguste,austen,0.333333333,male
auguste,august,0.5,male
auguste,augie,0.666666667,male
auguste,augustine,0.833333333,male
auguste,augustus,1,male
augustine,agosto,0.166666667,male
augustine,austen,0.333333333,male
augustine,august,0.5,male
augustine,auguste,0.666666667,male
augustine,augie,0.833333333,male
augustine,augustus,1,male
augustus,agosto,0.166666667,male
augustus,austen,0.333333333,male
augustus,august,0.5,male
augustus,auguste,0.666666667,male
augustus,augie,0.833333333,male
augustus,augustine,1,male
aurelio,aurelius,1,male
aurelius,aurelio,1,male
austen,agosto,0.166666667,male
austen,august,0.333333333,male
austen,auguste,0.5,male
austen,augie,0.666666667,male
austen,augustine,0.833333333,male
austen,augustus,1,male
auther,arturo,0.166666667,male
auther,athur,0.333333333,male
auther,artur,0.5,male
auther,artie,0.666666667,male
auther,arthur,0.833333333,male
auther,art,1,male
axel,aksel,1,male
bailey,bailley,1,male
bailley,bailey,1,male
barkely,barkly,1,male
barkly,barkely,1,male
barnabas,barnie,0.5,male
barnabas,barnaby,1,male
barnaby,barnie,0.5,male
barnaby,barnabas,1,male
barnard,barney,0.111111111,male
barnard,berny,0.222222222,male
barnard,bernie,0.333333333,male
barnard,bernhardt,0.444444444,male
barnard,bernhard,0.555555556,male
barnard,bernardo,0.666666667,male
barnard,bernard,0.777777778,male
barnard,berhardt,0.888888889,male
barnard,benardus,1,male
barney,barnard,0.111111111,male
barney,berny,0.222222222,male
barney,bernie,0.333333333,male
barney,bernhardt,0.444444444,male
barney,bernhard,0.555555556,male
barney,bernardo,0.666666667,male
barney,bernard,0.777777778,male
barney,berhardt,0.888888889,male
barney,benardus,1,male
barnie,barnabas,0.5,male
barnie,barnaby,1,male
barrie,barry,1,male
barry,barrie,1,male
bart,bartie,0.333333333,male
bart,bartholomew,0.666666667,male
bart,barth,1,male
barth,bartie,0.333333333,male
barth,bartholomew,0.666666667,male
barth,bart,1,male
bartholomew,bartie,0.333333333,male
bartholomew,bart,0.666666667,male
bartholomew,barth,1,male
bartie,bartholomew,0.333333333,male
bartie,bart,0.666666667,male
bartie,barth,1,male
basil,basileus,1,male
basileus,basil,1,male
ben,benjy,0.25,male
ben,benny,0.5,male
ben,benji,0.75,male
ben,benjamin,1,male
benardus,barney,0.111111111,male
benardus,barnard,0.222222222,male
benardus,berny,0.333333333,male
benardus,bernie,0.444444444,male
benardus,bernhardt,0.555555556,male
benardus,bernhard,0.666666667,male
benardus,bernardo,0.777777778,male
benardus,bernard,0.888888889,male
benardus,berhardt,1,male
benedetto,benedict,1,male
benedict,benedetto,1,male
benjamin,benjy,0.25,male
benjamin,benny,0.5,male
benjamin,benji,0.75,male
benjamin,ben,1,male
benji,benjy,0.25,male
benji,benny,0.5,male
benji,ben,0.75,male
benji,benjamin,1,male
benjy,benny,0.25,male
benjy,benji,0.5,male
benjy,ben,0.75,male
benjy,benjamin,1,male
benny,benjy,0.25,male
benny,benji,0.5,male
benny,ben,0.75,male
benny,benjamin,1,male
berhardt,barney,0.111111111,male
berhardt,barnard,0.222222222,male
berhardt,berny,0.333333333,male
berhardt,bernie,0.444444444,male
berhardt,bernhardt,0.555555556,male
berhardt,bernhard,0.666666667,male
berhardt,bernardo,0.777777778,male
berhardt,bernard,0.888888889,male
berhardt,benardus,1,male
bernard,barney,0.111111111,male
bernard,barnard,0.222222222,male
bernard,berny,0.333333333,male
bernard,bernie,0.444444444,male
bernard,bernhardt,0.555555556,male
bernard,bernhard,0.666666667,male
bernard,bernardo,0.777777778,male
bernard,berhardt,0.888888889,male
bernard,benardus,1,male
bernardo,barney,0.111111111,male
bernardo,barnard,0.222222222,male
bernardo,berny,0.333333333,male
bernardo,bernie,0.444444444,male
bernardo,bernhardt,0.555555556,male
bernardo,bernhard,0.666666667,male
bernardo,bernard,0.777777778,male
bernardo,berhardt,0.888888889,male
bernardo,benardus,1,male
bernhard,barney,0.111111111,male
bernhard,barnard,0.222222222,male
bernhard,berny,0.333333333,male
bernhard,bernie,0.444444444,male
bernhard,bernhardt,0.555555556,male
bernhard,bernardo,0.666666667,male
bernhard,bernard,0.777777778,male
bernhard,berhardt,0.888888889,male
bernhard,benardus,1,male
bernhardt,barney,0.111111111,male
bernhardt,barnard,0.222222222,male
bernhardt,berny,0.333333333,male
bernhardt,bernie,0.444444444,male
bernhardt,bernhard,0.555555556,male
bernhardt,bernardo,0.666666667,male
bernhardt,bernard,0.777777778,male
bernhardt,berhardt,0.888888889,male
bernhardt,benardus,1,male
bernie,barney,0.111111111,male
bernie,barnard,0.222222222,male
bernie,berny,0.333333333,male
bernie,bernhardt,0.444444444,male
bernie,bernhard,0.555555556,male
bernie,bernardo,0.666666667,male
bernie,bernard,0.777777778,male
bernie,berhardt,0.888888889,male
bernie,benardus,1,male
berny,barney,0.111111111,male
berny,barnard,0.222222222,male
berny,bernie,0.333333333,male
berny,bernhardt,0.444444444,male
berny,bernhard,0.555555556,male
berny,bernardo,0.666666667,male
berny,bernard,0.777777778,male
berny,berhardt,0.888888889,male
berny,benardus,1,male
bert,bertie,0.333333333,male
bert,alberto,0.666666667,male
bert,albert,1,male
bertie,alberto,0.333333333,male
bertie,bert,0.666666667,male
bertie,albert,1,male
bertram,bertrand,1,male
bertrand,bertram,1,male
bill,willi,0.090909091,male
bill,willem,0.181818182,male
bill,will,0.272727273,male
bill,wilie,0.363636364,male
bill,wilhelm,0.454545455,male
bill,wilheim,0.545454545,male
bill,wiley,0.636363636,male
bill,william,0.727272727,male
bill,wil,0.818181818,male
bill,billy,0.909090909,male
bill,billie,1,male
billie,willi,0.090909091,male
billie,willem,0.181818182,male
billie,will,0.272727273,male
billie,wilie,0.363636364,male
billie,wilhelm,0.454545455,male
billie,wilheim,0.545454545,male
billie,wiley,0.636363636,male
billie,william,0.727272727,male
billie,wil,0.818181818,male
billie,billy,0.909090909,male
billie,bill,1,male
billy,willi,0.090909091,male
billy,willem,0.181818182,male
billy,will,0.272727273,male
billy,wilie,0.363636364,male
billy,wilhelm,0.454545455,male
billy,wilheim,0.545454545,male
billy,wiley,0.636363636,male
billy,william,0.727272727,male
billy,wil,0.818181818,male
billy,billie,0.909090909,male
billy,bill,1,male
bjorn,bourne,1,male
blaize,blaze,1,male
blake,blayke,1,male
blayke,blake,1,male
blaze,blaize,1,male
bob,bobby,0.125,male
bob,robt,0.25,male
bob,roberto,0.375,male
bob,robert,0.5,male
bob,robby,0.625,male
bob,robbie,0.75,male
bob,robb,0.875,male
bob,rob,1,male
bobby,bob,0.125,male
bobby,robt,0.25,male
bobby,roberto,0.375,male
bobby,robert,0.5,male
bobby,robby,0.625,male
bobby,robbie,0.75,male
bobby,robb,0.875,male
bobby,rob,1,male
bourne,bjorn,1,male
brad,bradley,1,male
bradley,brad,1,male
braedon,bryden,0.25,male
braedon,braydon,0.5,male
braedon,brayden,0.75,male
braedon,braiden,1,male
braiden,bryden,0.25,male
braiden,braydon,0.5,male
braiden,brayden,0.75,male
braiden,braedon,1,male
brambley,bramley,1,male
bramley,brambley,1,male
brandon,brendan,1,male
brayden,bryden,0.25,male
brayden,braydon,0.5,male
brayden,braiden,0.75,male
brayden,braedon,1,male
braydon,bryden,0.25,male
braydon,brayden,0.5,male
braydon,braiden,0.75,male
braydon,braedon,1,male
bred,brett,1,male
brendan,brandon,1,male
brett,bred,1,male
brian,bryan,0.333333333,male
brian,brien,0.666666667,male
brian,briant,1,male
briant,bryan,0.333333333,male
briant,brien,0.666666667,male
briant,brian,1,male
brice,bryce,1,male
brien,bryan,0.333333333,male
brien,briant,0.666666667,male
brien,brian,1,male
brodee,brodie,1,male
brodie,brodee,1,male
bruce,bruse,1,male
bruse,bruce,1,male
bryan,brien,0.333333333,male
bryan,briant,0.666666667,male
bryan,brian,1,male
bryce,brice,1,male
bryden,braydon,0.25,male
bryden,brayden,0.5,male
bryden,braiden,0.75,male
bryden,braedon,1,male
cain,cayn,1,male
cal,calvin,1,male
calum,malcom,0.333333333,male
calum,malcolm,0.666666667,male
calum,mal,1,male
calvin,cal,1,male
cambell,campbell,1,male
campbell,cambell,1,male
carey,kerry,0.5,male
carey,cary,1,male
carl,chuck,0.1,male
carl,chick,0.2,male
carl,chas,0.3,male
carl,karl,0.4,male
carl,charlie,0.5,male
carl,charley,0.6,male
carl,charles,0.7,male
carl,carlos,0.8,male
carl,carlo,0.9,male
carl,carle,1,male
carle,chuck,0.1,male
carle,chick,0.2,male
carle,chas,0.3,male
carle,karl,0.4,male
carle,charlie,0.5,male
carle,charley,0.6,male
carle,charles,0.7,male
carle,carlos,0.8,male
carle,carlo,0.9,male
carle,carl,1,male
carlo,chuck,0.1,male
carlo,chick,0.2,male
carlo,chas,0.3,male
carlo,karl,0.4,male
carlo,charlie,0.5,male
carlo,charley,0.6,male
carlo,charles,0.7,male
carlo,carlos,0.8,male
carlo,carle,0.9,male
carlo,carl,1,male
carlos,chuck,0.1,male
carlos,chick,0.2,male
carlos,chas,0.3,male
carlos,karl,0.4,male
carlos,charlie,0.5,male
carlos,charley,0.6,male
carlos,charles,0.7,male
carlos,carlo,0.8,male
carlos,carle,0.9,male
carlos,carl,1,male
cary,kerry,0.5,male
cary,carey,1,male
cayn,cain,1,male
cec,cecil,1,male
cecil,cec,1,male
cedric,cedrick,1,male
cedrick,cedric,1,male
charles,chuck,0.1,male
charles,chick,0.2,male
charles,chas,0.3,male
charles,karl,0.4,male
charles,charlie,0.5,male
charles,charley,0.6,male
charles,carlos,0.7,male
charles,carlo,0.8,male
charles,carle,0.9,male
charles,carl,1,male
charley,chuck,0.1,male
charley,chick,0.2,male
charley,chas,0.3,male
charley,karl,0.4,male
charley,charlie,0.5,male
charley,charles,0.6,male
charley,carlos,0.7,male
charley,carlo,0.8,male
charley,carle,0.9,male
charley,carl,1,male
charlie,chuck,0.1,male
charlie,chick,0.2,male
charlie,chas,0.3,male
charlie,karl,0.4,male
charlie,charley,0.5,male
charlie,charles,0.6,male
charlie,carlos,0.7,male
charlie,carlo,0.8,male
charlie,carle,0.9,male
charlie,carl,1,male
chas,chuck,0.1,male
chas,chick,0.2,male
chas,karl,0.3,male
chas,charlie,0.4,male
chas,charley,0.5,male
chas,charles,0.6,male
chas,carlos,0.7,male
chas,carlo,0.8,male
chas,carle,0.9,male
chas,carl,1,male
ches,chester,1,male
chester,ches,1,male
