lastname,freq,race
crawleigh,0.00035524,American Indian or Native Alaskan
crazybear,0.00035524,American Indian or Native Alaskan
crespin,0.00035524,American Indian or Native Alaskan
crews,0.00035524,American Indian or Native Alaskan
cross,0.00035524,American Indian or Native Alaskan
cross-romero,0.00035524,American Indian or Native Alaskan
croteau,0.00035524,American Indian or Native Alaskan
crowghost,0.00035524,American Indian or Native Alaskan
crowley,0.00035524,American Indian or Native Alaskan
cruze,0.00035524,American Indian or Native Alaskan
cummings,0.00035524,American Indian or Native Alaskan
curlin,0.00035524,American Indian or Native Alaskan
currin,0.00035524,American Indian or Native Alaskan
curtice,0.00035524,American Indian or Native Alaskan
cuthair,0.00035524,American Indian or Native Alaskan
dall,0.00035524,American Indian or Native Alaskan
dalrymple,0.00035524,American Indian or Native Alaskan
damiana,0.00035524,American Indian or Native Alaskan
dance,0.00035524,American Indian or Native Alaskan
danner,0.00035524,American Indian or Native Alaskan
danskin,0.00035524,American Indian or Native Alaskan
darnell,0.00035524,American Indian or Native Alaskan
dart,0.00035524,American Indian or Native Alaskan
daughtry,0.00035524,American Indian or Native Alaskan
davidson,0.00035524,American Indian or Native Alaskan
davila draper,0.00035524,American Indian or Native Alaskan
dawson,0.00035524,American Indian or Native Alaskan
dean,0.00035524,American Indian or Native Alaskan
deardeuff,0.00035524,American Indian or Native Alaskan
debus,0.00035524,American Indian or Native Alaskan
declaw,0.00035524,American Indian or Native Alaskan
dedios,0.00035524,American Indian or Native Alaskan
dee,0.00035524,American Indian or Native Alaskan
dee-hamilton,0.00035524,American Indian or Native Alaskan
deer,0.00035524,American Indian or Native Alaskan
deere,0.00035524,American Indian or Native Alaskan
deering,0.00035524,American Indian or Native Alaskan
dehn,0.00035524,American Indian or Native Alaskan
delarosa,0.00035524,American Indian or Native Alaskan
delgado,0.00035524,American Indian or Native Alaskan
dellacroce,0.00035524,American Indian or Native Alaskan
denning,0.00035524,American Indian or Native Alaskan
descheny,0.00035524,American Indian or Native Alaskan
desersa,0.00035524,American Indian or Native Alaskan
diaz,0.00035524,American Indian or Native Alaskan
diaz daughtry,0.00035524,American Indian or Native Alaskan
dick,0.00035524,American Indian or Native Alaskan
didario,0.00035524,American Indian or Native Alaskan
diederich,0.00035524,American Indian or Native Alaskan
digregorio,0.00035524,American Indian or Native Alaskan
dillon,0.00035524,American Indian or Native Alaskan
dinae,0.00035524,American Indian or Native Alaskan
dinsmore,0.00035524,American Indian or Native Alaskan
dintaman,0.00035524,American Indian or Native Alaskan
ditlevson,0.00035524,American Indian or Native Alaskan
dittloff,0.00035524,American Indian or Native Alaskan
dizayee,0.00035524,American Indian or Native Alaskan
dodd,0.00035524,American Indian or Native Alaskan
dodge,0.00035524,American Indian or Native Alaskan
dolson,0.00035524,American Indian or Native Alaskan
domer,0.00035524,American Indian or Native Alaskan
donaldson,0.00035524,American Indian or Native Alaskan
doremus,0.00035524,American Indian or Native Alaskan
doria,0.00035524,American Indian or Native Alaskan
dorrance,0.00035524,American Indian or Native Alaskan
dorsett,0.00035524,American Indian or Native Alaskan
douglas,0.00035524,American Indian or Native Alaskan
dove,0.00035524,American Indian or Native Alaskan
downs,0.00035524,American Indian or Native Alaskan
drake,0.00035524,American Indian or Native Alaskan
draper,0.00035524,American Indian or Native Alaskan
drum,0.00035524,American Indian or Native Alaskan
drury-parlett,0.00035524,American Indian or Native Alaskan
duff,0.00035524,American Indian or Native Alaskan
duling,0.00035524,American Indian or Native Alaskan
dumas,0.00035524,American Indian or Native Alaskan
duncan,0.00035524,American Indian or Native Alaskan
dunn,0.00035524,American Indian or Native Alaskan
dunning,0.00035524,American Indian or Native Alaskan
dupree,0.00035524,American Indian or Native Alaskan
dutchie,0.00035524,American Indian or Native Alaskan
duvall,0.00035524,American Indian or Native Alaskan
dwyer,0.00035524,American Indian or Native Alaskan
dye,0.00035524,American Indian or Native Alaskan
dyer,0.00035524,American Indian or Native Alaskan
eagle horse,0.00035524,American Indian or Native Alaskan
eberhart,0.00035524,American Indian or Native Alaskan
echohawk,0.00035524,American Indian or Native Alaskan
eckhart,0.00035524,American Indian or Native Alaskan
edler,0.00035524,American Indian or Native Alaskan
edmondson,0.00035524,American Indian or Native Alaskan
edwards,0.00035524,American Indian or Native Alaskan
egan jr,0.00035524,American Indian or Native Alaskan
eggleton,0.00035524,American Indian or Native Alaskan
ehlers,0.00035524,American Indian or Native Alaskan
elden,0.00035524,American Indian or Native Alaskan
elfvin,0.00035524,American Indian or Native Alaskan
elizondo,0.00035524,American Indian or Native Alaskan
ellerman,0.00035524,American Indian or Native Alaskan
elwood,0.00035524,American Indian or Native Alaskan
embry,0.00035524,American Indian or Native Alaskan
emert,0.00035524,American Indian or Native Alaskan
emley,0.00035524,American Indian or Native Alaskan
engstrom,0.00035524,American Indian or Native Alaskan
enriquez-yanez,0.00035524,American Indian or Native Alaskan
eppard,0.00035524,American Indian or Native Alaskan
eriacho,0.00035524,American Indian or Native Alaskan
espinoza,0.00035524,American Indian or Native Alaskan
esquibel,0.00035524,American Indian or Native Alaskan
esquibel vandegrift,0.00035524,American Indian or Native Alaskan
etchells,0.00035524,American Indian or Native Alaskan
etzenhouser,0.00035524,American Indian or Native Alaskan
eurich,0.00035524,American Indian or Native Alaskan
evangelista,0.00035524,American Indian or Native Alaskan
exum,0.00035524,American Indian or Native Alaskan
fabrizio,0.00035524,American Indian or Native Alaskan
failing,0.00035524,American Indian or Native Alaskan
fairbank's,0.00035524,American Indian or Native Alaskan
fairbanks,0.00035524,American Indian or Native Alaskan
farmer,0.00035524,American Indian or Native Alaskan
farrell,0.00035524,American Indian or Native Alaskan
faulhaber,0.00035524,American Indian or Native Alaskan
fazio,0.00035524,American Indian or Native Alaskan
felicia,0.00035524,American Indian or Native Alaskan
felix,0.00035524,American Indian or Native Alaskan
ferguson,0.00035524,American Indian or Native Alaskan
ferrelli,0.00035524,American Indian or Native Alaskan
fiddelke,0.00035524,American Indian or Native Alaskan
fields,0.00035524,American Indian or Native Alaskan
fierro,0.00035524,American Indian or Native Alaskan
fimbres,0.00035524,American Indian or Native Alaskan
finch,0.00035524,American Indian or Native Alaskan
finkenbinder,0.00035524,American Indian or Native Alaskan
fischer,0.00035524,American Indian or Native Alaskan
fish,0.00035524,American Indian or Native Alaskan
fitts,0.00035524,American Indian or Native Alaskan
fleharty,0.00035524,American Indian or Native Alaskan
fleischman jr,0.00035524,American Indian or Native Alaskan
fling-salazar,0.00035524,American Indian or Native Alaskan
flores,0.00035524,American Indian or Native Alaskan
flyinghawk,0.00035524,American Indian or Native Alaskan
flynn,0.00035524,American Indian or Native Alaskan
ford nunn,0.00035524,American Indian or Native Alaskan
fourhorn,0.00035524,American Indian or Native Alaskan
fraley,0.00035524,American Indian or Native Alaskan
franklin,0.00035524,American Indian or Native Alaskan
frazier,0.00035524,American Indian or Native Alaskan
fredericks,0.00035524,American Indian or Native Alaskan
freeland,0.00035524,American Indian or Native Alaskan
freeman,0.00035524,American Indian or Native Alaskan
french,0.00035524,American Indian or Native Alaskan
freyta,0.00035524,American Indian or Native Alaskan
froome,0.00035524,American Indian or Native Alaskan
fryer,0.00035524,American Indian or Native Alaskan
fuentes,0.00035524,American Indian or Native Alaskan
fuino,0.00035524,American Indian or Native Alaskan
fulcher,0.00035524,American Indian or Native Alaskan
funk,0.00035524,American Indian or Native Alaskan
gabel,0.00035524,American Indian or Native Alaskan
garbani,0.00035524,American Indian or Native Alaskan
gardella,0.00035524,American Indian or Native Alaskan
garden,0.00035524,American Indian or Native Alaskan
garduno,0.00035524,American Indian or Native Alaskan
garlick,0.00035524,American Indian or Native Alaskan
garman,0.00035524,American Indian or Native Alaskan
garnett,0.00035524,American Indian or Native Alaskan
garrett,0.00035524,American Indian or Native Alaskan
gashwazra,0.00035524,American Indian or Native Alaskan
gayman,0.00035524,American Indian or Native Alaskan
gentry,0.00035524,American Indian or Native Alaskan
geshick,0.00035524,American Indian or Native Alaskan
gesick,0.00035524,American Indian or Native Alaskan
gibson,0.00035524,American Indian or Native Alaskan
giehm,0.00035524,American Indian or Native Alaskan
gilbert-mayes,0.00035524,American Indian or Native Alaskan
giron lovato,0.00035524,American Indian or Native Alaskan
gleitz,0.00035524,American Indian or Native Alaskan
goddard,0.00035524,American Indian or Native Alaskan
godoy,0.00035524,American Indian or Native Alaskan
goheen,0.00035524,American Indian or Native Alaskan
golden,0.00035524,American Indian or Native Alaskan
goldman,0.00035524,American Indian or Native Alaskan
gomen,0.00035524,American Indian or Native Alaskan
gonzalez,0.00035524,American Indian or Native Alaskan
good wind,0.00035524,American Indian or Native Alaskan
goodbear,0.00035524,American Indian or Native Alaskan
goode,0.00035524,American Indian or Native Alaskan
goodell,0.00035524,American Indian or Native Alaskan
gordon,0.00035524,American Indian or Native Alaskan
gosnell,0.00035524,American Indian or Native Alaskan
gracely,0.00035524,American Indian or Native Alaskan
greene,0.00035524,American Indian or Native Alaskan
gregory,0.00035524,American Indian or Native Alaskan
griffin,0.00035524,American Indian or Native Alaskan
grimes,0.00035524,American Indian or Native Alaskan
groesbeck,0.00035524,American Indian or Native Alaskan
grohman,0.00035524,American Indian or Native Alaskan
grossetete,0.00035524,American Indian or Native Alaskan
grover,0.00035524,American Indian or Native Alaskan
guerrero,0.00035524,American Indian or Native Alaskan
guerue,0.00035524,American Indian or Native Alaskan
guimont,0.00035524,American Indian or Native Alaskan
gulley,0.00035524,American Indian or Native Alaskan
gustafson,0.00035524,American Indian or Native Alaskan
gutierrez,0.00035524,American Indian or Native Alaskan
guyon,0.00035524,American Indian or Native Alaskan
guzman,0.00035524,American Indian or Native Alaskan
haas,0.00035524,American Indian or Native Alaskan
haley,0.00035524,American Indian or Native Alaskan
haltom,0.00035524,American Indian or Native Alaskan
hamm,0.00035524,American Indian or Native Alaskan
hand,0.00035524,American Indian or Native Alaskan
hanson,0.00035524,American Indian or Native Alaskan
harding,0.00035524,American Indian or Native Alaskan
hardy,0.00035524,American Indian or Native Alaskan
haring,0.00035524,American Indian or Native Alaskan
harmon,0.00035524,American Indian or Native Alaskan
harney,0.00035524,American Indian or Native Alaskan
harper,0.00035524,American Indian or Native Alaskan
harrier,0.00035524,American Indian or Native Alaskan
harriman,0.00035524,American Indian or Native Alaskan
hart,0.00035524,American Indian or Native Alaskan
harvie,0.00035524,American Indian or Native Alaskan
haskan,0.00035524,American Indian or Native Alaskan
hathcock,0.00035524,American Indian or Native Alaskan
haulman,0.00035524,American Indian or Native Alaskan
hauptli,0.00035524,American Indian or Native Alaskan
havlik,0.00035524,American Indian or Native Alaskan
hayes,0.00035524,American Indian or Native Alaskan
haynes,0.00035524,American Indian or Native Alaskan
heckman,0.00035524,American Indian or Native Alaskan
hedin,0.00035524,American Indian or Native Alaskan
heffelman,0.00035524,American Indian or Native Alaskan
heimann,0.00035524,American Indian or Native Alaskan
helfer,0.00035524,American Indian or Native Alaskan
hemlock,0.00035524,American Indian or Native Alaskan
henderson,0.00035524,American Indian or Native Alaskan
henkels,0.00035524,American Indian or Native Alaskan
henry,0.00035524,American Indian or Native Alaskan
hensinger ii,0.00035524,American Indian or Native Alaskan
herde,0.00035524,American Indian or Native Alaskan
heredia,0.00035524,American Indian or Native Alaskan
hering,0.00035524,American Indian or Native Alaskan
hermanyhorses,0.00035524,American Indian or Native Alaskan
herndon,0.00035524,American Indian or Native Alaskan
herrington,0.00035524,American Indian or Native Alaskan
hertz,0.00035524,American Indian or Native Alaskan
heuman,0.00035524,American Indian or Native Alaskan
hickson,0.00035524,American Indian or Native Alaskan
hight,0.00035524,American Indian or Native Alaskan
hildebrand,0.00035524,American Indian or Native Alaskan
hill,0.00035524,American Indian or Native Alaskan
hines,0.00035524,American Indian or Native Alaskan
hintz,0.00035524,American Indian or Native Alaskan
hirano,0.00035524,American Indian or Native Alaskan
hobley,0.00035524,American Indian or Native Alaskan
hodge,0.00035524,American Indian or Native Alaskan
hogan,0.00035524,American Indian or Native Alaskan
holder,0.00035524,American Indian or Native Alaskan
holguin,0.00035524,American Indian or Native Alaskan
hollis,0.00035524,American Indian or Native Alaskan
holloway,0.00035524,American Indian or Native Alaskan
holmes jr,0.00035524,American Indian or Native Alaskan
hood,0.00035524,American Indian or Native Alaskan
hoots,0.00035524,American Indian or Native Alaskan
hope,0.00035524,American Indian or Native Alaskan
horst,0.00035524,American Indian or Native Alaskan
horton,0.00035524,American Indian or Native Alaskan
houdek,0.00035524,American Indian or Native Alaskan
howe,0.00035524,American Indian or Native Alaskan
howlingwolf,0.00035524,American Indian or Native Alaskan
hubbs,0.00035524,American Indian or Native Alaskan
huffstater,0.00035524,American Indian or Native Alaskan
hughes,0.00035524,American Indian or Native Alaskan
huitt,0.00035524,American Indian or Native Alaskan
hunkar,0.00035524,American Indian or Native Alaskan
huppert,0.00035524,American Indian or Native Alaskan
hursey,0.00035524,American Indian or Native Alaskan
hyatt,0.00035524,American Indian or Native Alaskan
ilgenfritz,0.00035524,American Indian or Native Alaskan
ingle,0.00035524,American Indian or Native Alaskan
iron cloud-gresko,0.00035524,American Indian or Native Alaskan
iron wing,0.00035524,American Indian or Native Alaskan
ironcloud,0.00035524,American Indian or Native Alaskan
ironshield,0.00035524,American Indian or Native Alaskan
ironwing,0.00035524,American Indian or Native Alaskan
irwin,0.00035524,American Indian or Native Alaskan
isaac,0.00035524,American Indian or Native Alaskan
ives,0.00035524,American Indian or Native Alaskan
janis,0.00035524,American Indian or Native Alaskan
jaramillo,0.00035524,American Indian or Native Alaskan
jarrell,0.00035524,American Indian or Native Alaskan
jarrett,0.00035524,American Indian or Native Alaskan
jarvis,0.00035524,American Indian or Native Alaskan
jauch,0.00035524,American Indian or Native Alaskan
jenks,0.00035524,American Indian or Native Alaskan
jennings,0.00035524,American Indian or Native Alaskan
jimenez,0.00035524,American Indian or Native Alaskan
john iii,0.00035524,American Indian or Native Alaskan
johnston,0.00035524,American Indian or Native Alaskan
jojola,0.00035524,American Indian or Native Alaskan
jones jr,0.00035524,American Indian or Native Alaskan
joy,0.00035524,American Indian or Native Alaskan
judkins,0.00035524,American Indian or Native Alaskan
julian-ambrose,0.00035524,American Indian or Native Alaskan
jumpe,0.00035524,American Indian or Native Alaskan
kacprowicz,0.00035524,American Indian or Native Alaskan
kaibetoney,0.00035524,American Indian or Native Alaskan
kasper,0.00035524,American Indian or Native Alaskan
kauffmann,0.00035524,American Indian or Native Alaskan
kazee,0.00035524,American Indian or Native Alaskan
keams,0.00035524,American Indian or Native Alaskan
kearns,0.00035524,American Indian or Native Alaskan
kee,0.00035524,American Indian or Native Alaskan
keese,0.00035524,American Indian or Native Alaskan
kekahbah,0.00035524,American Indian or Native Alaskan
kellenberger,0.00035524,American Indian or Native Alaskan
kellison,0.00035524,American Indian or Native Alaskan
kelly,0.00035524,American Indian or Native Alaskan
kemp,0.00035524,American Indian or Native Alaskan
kershner,0.00035524,American Indian or Native Alaskan
keuhne,0.00035524,American Indian or Native Alaskan
keyer,0.00035524,American Indian or Native Alaskan
kiefer,0.00035524,American Indian or Native Alaskan
kierstead,0.00035524,American Indian or Native Alaskan
kilcrease,0.00035524,American Indian or Native Alaskan
kimble,0.00035524,American Indian or Native Alaskan
kinder,0.00035524,American Indian or Native Alaskan
kinlicheene,0.00035524,American Indian or Native Alaskan
kirbow,0.00035524,American Indian or Native Alaskan
kirkland,0.00035524,American Indian or Native Alaskan
kirksey,0.00035524,American Indian or Native Alaskan
kirn,0.00035524,American Indian or Native Alaskan
kirven,0.00035524,American Indian or Native Alaskan
kline,0.00035524,American Indian or Native Alaskan
klocker,0.00035524,American Indian or Native Alaskan
knight,0.00035524,American Indian or Native Alaskan
koenig,0.00035524,American Indian or Native Alaskan
kohnlein,0.00035524,American Indian or Native Alaskan
koontz,0.00035524,American Indian or Native Alaskan
krien,0.00035524,American Indian or Native Alaskan
krpan,0.00035524,American Indian or Native Alaskan
kuck,0.00035524,American Indian or Native Alaskan
kuhlmann kazay,0.00035524,American Indian or Native Alaskan
kumar,0.00035524,American Indian or Native Alaskan
labishak,0.00035524,American Indian or Native Alaskan
lacy,0.00035524,American Indian or Native Alaskan
lafebre,0.00035524,American Indian or Native Alaskan
lalria,0.00035524,American Indian or Native Alaskan
lamas,0.00035524,American Indian or Native Alaskan
lamb,0.00035524,American Indian or Native Alaskan
lambertson,0.00035524,American Indian or Native Alaskan
lamping,0.00035524,American Indian or Native Alaskan
land,0.00035524,American Indian or Native Alaskan
landrum,0.00035524,American Indian or Native Alaskan
landry,0.00035524,American Indian or Native Alaskan
lane,0.00035524,American Indian or Native Alaskan
