postcode,country,primary_care_trust,longitude,latitude
PA3 2RS,Scotland,Renfrewshire Community Health Partnership,-4.424267,55.860937
HR6 0HG,England,Herefordshire,-2.697919,52.249396
CV1 5JH,England,Coventry Teaching,-1.49533,52.411785
W7 3PX,England,Ealing,-0.331245,51.509562
DH6 4PB,England,County Durham,-1.484701,54.716181
SE17 3RT,England,Southwark,-0.10462,51.488421
TQ7 3JS,England,Devon,-3.859181,50.263472
DY9 8JG,England,Dudley,-2.109534,52.459402
DE21 6AE,England,Derby City,-1.458672,52.927159
CO10 7LP,England,Mid Essex,0.728797,52.020036
ML11 7AQ,Scotland,South Lanarkshire Community Health Partnership,-3.772614,55.676231
BT41 3RA,Northern Ireland,Northern,-6.427069,54.746725
WS10 8JG,England,Walsall Teaching,-2.034025,52.578169
OX9 7AT,England,Buckinghamshire,-1.014039,51.71414
PO33 2BL,England,Isle of Wight National Health Service,-1.158449,50.726806
B70 0SF,England,Sandwell,-2.012188,52.53753
WA3 5JH,England,Warrington,-2.495852,53.459437
BA1 5ND,England,Bath and North East Somerset,-2.359652,51.389267
CO3 3PN,England,North East Essex,0.887495,51.888474
WF12 9LS,England,Kirklees,-1.629886,53.684651
TF1 6NR,England,Telford and Wrekin,-2.491521,52.717519
M40 8AY,England,Manchester Teaching,-2.204851,53.500651
SK1 3FP,England,Stockport,-2.161562,53.407561
M44 6BA,England,Salford,-2.420254,53.440305
NG18 2FA,England,Nottinghamshire County Teaching,-1.190923,53.152674
SW1Y 4TE,England,Westminster,-0.131782,51.507903
NR7 7SE,England,Norfolk,1.327118,52.627222
NG16 1FB,England,Nottinghamshire County Teaching,-1.248081,52.999071
IP14 6LG,England,Suffolk,1.189109,52.209714
NR33 8TT,England,Great Yarmouth and Waveney,1.706989,52.451138
W1T 2EH,England,Camden,-0.133531,51.519406
WF3 1NW,England,Leeds,-1.556355,53.727014
BA11 4EZ,England,Somerset,-2.333704,51.22411
S64 0DZ,England,Doncaster,-1.272928,53.500129
CF41 7SQ,Wales,Cwm Taf Morgannwg University Health Board,-3.462895,51.643533
M44 5JE,England,Salford,-2.436095,53.431889
NN14 3ES,England,Northamptonshire Teaching,-0.606578,52.460476
PO30 5BA,England,Isle of Wight National Health Service,-1.292539,50.701114
WN4 9BH,England,"Ashton, Leigh and Wigan",-2.639917,53.489828
DL6 3EL,England,North Yorkshire and York,-1.267748,54.412346
TS22 5DH,England,Stockton-on-Tees Teaching,-1.31303,54.611424
CF36 5RB,Wales,Cwm Taf Morgannwg University Health Board,-3.669694,51.487834
M60 6ES,England,Manchester Teaching,-2.232267,53.482993
G42 7HS,Scotland,Glasgow City Community Health Partnership,-4.252567,55.838044
WV6 0QU,England,Wolverhampton City,-2.142094,52.600494
N20 9LD,England,Barnet,-0.176032,51.632749
EH6 4HE,Scotland,Edinburgh Community Health Partnership,-3.185538,55.975474
SE1P 4AN,England,Southwark,-0.080152,51.492762
PH1 5TW,Scotland,Perth and Kinross Community Health Partnership,-3.441134,56.401807
TN38 0QZ,England,Hastings and Rother,0.554096,50.856692
SE24 0DT,England,Lambeth,-0.10191,51.45586
YO17 7BJ,England,North Yorkshire and York,-0.807564,54.135286
BN7 1NB,England,East Sussex Downs and Weald,-0.007476,50.876907
RG26 3UT,England,Hampshire,-1.140632,51.345775
SY5 8NE,England,Shropshire County,-2.815538,52.687822
DG9 7LY,Scotland,Dumfries and Galloway Community Health Partnership,-5.035826,54.900111
ST13 5BD,England,North Staffordshire,-2.007783,53.104623
YO15 1JS,England,East Riding of Yorkshire,-0.123952,54.116498
DN3 1QA,England,Doncaster,-1.06454,53.560162
SO24 9PU,England,Hampshire,-1.165186,51.082799
SA16 0DS,Wales,Hywel Dda University Health Board,-4.245027,51.693146
CT6 5AQ,England,Eastern and Coastal Kent,1.130008,51.3715
ME8 7ER,England,Medway,0.594313,51.369129
SY3 8LZ,England,Shropshire County,-2.771795,52.710725
ME17 1QL,England,West Kent,0.669281,51.272388
WF12 8HR,England,Kirklees,-1.608975,53.689672
LD2 3ND,Wales,Powys Teaching Health Board,-3.499458,52.186064
S66 9AY,England,Rotherham,-1.271892,53.390531
NR20 4AG,England,Norfolk,0.951515,52.681166
HG2 9PE,England,North Yorkshire and York,-1.545445,53.972363
PA5 8TX,Scotland,Renfrewshire Community Health Partnership,-4.525685,55.843698
G67 4AH,Scotland,North Lanarkshire Community Health Partnership,-4.001624,55.936297
AB41 7NQ,Scotland,Aberdeenshire Community Health Partnership,-2.275483,57.371508
PR25 5DA,England,Central Lancashire,-2.677031,53.683305
WA1 4RZ,England,Warrington,-2.531158,53.404096
SP3 6DE,England,Wiltshire,-2.163136,51.095269
AB23 8WL,Scotland,Aberdeenshire Community Health Partnership,-2.053591,57.247052
BR6 9QD,England,Bromley,0.079233,51.361869
NN15 7RE,England,Northamptonshire Teaching,-0.742155,52.390547
M7 4AR,England,Salford,-2.253507,53.507129
SL1 9DJ,England,Berkshire East,-0.626909,51.508324
KT13 8TY,England,Surrey,-0.460275,51.362387
FY6 0DZ,England,North Lancashire Teaching,-2.96951,53.92163
TR4 8UD,England,Cornwall and Isles of Scilly,-5.239221,50.286731
AB51 0GL,Scotland,Aberdeenshire Community Health Partnership,-2.317669,57.337891
SY5 6JJ,England,Shropshire County,-2.682608,52.662916
OL2 8QX,England,Oldham,-2.094627,53.578099
FY7 8BH,England,North Lancashire Teaching,-3.036329,53.914686
SO50 9DA,England,Hampshire,-1.354033,50.971322
L6 0BZ,England,Liverpool,-2.945037,53.431013
W8 6DD,England,Kensington and Chelsea,-0.197047,51.495094
CT2 0FB,England,Eastern and Coastal Kent,1.121729,51.299228
B61 0DP,England,Worcestershire,-2.05026,52.344148
NG17 4DW,England,Nottinghamshire County Teaching,-1.254617,53.136828
NP23 5HB,Wales,Aneurin Bevan University Health Board,-3.232377,51.79633
PO21 1QS,England,West Sussex,-0.67605,50.783552
RH2 0NU,England,Surrey,-0.191115,51.24275
BS24 9QL,England,North Somerset,-2.934603,51.326564
CH4 8AN,England,Western Cheshire,-2.906244,53.182084
DD3 7BA,Scotland,Dundee Community Health Partnership,-2.972929,56.465536
KY7 6RT,Scotland,Glenrothes and North East Fife Community Health Partnership,-3.171915,56.208736
KA26 0BN,Scotland,South Ayrshire Community Health Partnership,-4.852347,55.23731
M40 5RN,England,Manchester Teaching,-2.184132,53.520424
CM15 9DU,England,South West Essex,0.298145,51.627112
B64 5PW,England,Sandwell,-2.067332,52.478684
PE26 2TZ,England,Cambridgeshire,-0.14994,52.481233
KY6 2JR,Scotland,Glenrothes and North East Fife Community Health Partnership,-3.210156,56.194943
GU24 9AT,England,Surrey,-0.643543,51.318154
S10 4DA,England,Sheffield,-1.55323,53.371546
B31 2RA,England,South Birmingham,-1.973099,52.407077
BT45 8JL,Northern Ireland,Northern,-6.54867,54.840424
NN2 8EX,England,Northamptonshire Teaching,-0.909141,52.280603
WR3 7LP,England,Worcestershire,-2.227507,52.215126
NG32 1LE,England,Lincolnshire Teaching,-0.712178,52.884224
AB41 8TD,Scotland,Aberdeenshire Community Health Partnership,-2.095288,57.479095
NW9 8TE,England,Brent Teaching,-0.262674,51.565104
LL75 8YY,Wales,Betsi Cadwaladr University Health Board,-4.222374,53.256626
UB3 4NW,England,Hillingdon,-0.419144,51.499287
S70 6ES,England,Barnsley,-1.493035,53.551284
L12 7HL,England,Liverpool,-2.92062,53.431554
NE65 8UH,England,Northumberland,-1.766186,55.242438
SR1 3PE,England,Sunderland Teaching,-1.385879,54.903038
NN4 8NJ,England,Northamptonshire Teaching,-0.901326,52.224287
B44 8LX,England,Heart of Birmingham Teaching,-1.896726,52.536302
OX5 2EJ,England,Oxfordshire,-1.281397,51.824567
CB4 3NW,England,Cambridgeshire,0.111774,52.223932
NE25 9GJ,England,North Tyneside,-1.483446,55.04745
WD19 6FH,England,Hertfordshire,-0.385912,51.619753
UB2 5AG,England,Hounslow,-0.403967,51.495585
LL14 5BE,Wales,Betsi Cadwaladr University Health Board,-3.053535,52.945464
SY22 6PX,Wales,Powys Teaching Health Board,-3.098063,52.735382
SW19 3NE,England,Sutton and Merton,-0.20488,51.415217
DA9 9LT,England,West Kent,0.287236,51.444488
ZE1 9SF,Scotland,Shetland Community Health Partnership,-1.146229,60.154437
NG12 2NS,England,Nottinghamshire County Teaching,-1.006486,52.943109
DT11 8FF,England,Dorset,-2.060816,50.930324
EC2V 6AU,England,City and Hackney Teaching,-0.093593,51.513864
WS3 2SE,England,Walsall Teaching,-2.017786,52.620706
SW16 1AB,England,Lambeth,-0.132528,51.438511
HR3 6NQ,England,Herefordshire,-3.004364,52.135521
WF9 3HS,England,Wakefield District,-1.331571,53.591065
RG21 5QG,England,Hampshire,-1.081867,51.27664
YO26 0DQ,England,North Yorkshire and York,-1.092345,53.960448
DY4 9AP,England,Sandwell,-2.076275,52.53305
NP44 5EF,Wales,Aneurin Bevan University Health Board,-3.05678,51.652153
BA13 3UW,England,Wiltshire,-2.200125,51.249925
ME14 4EA,England,West Kent,0.58113,51.273655
ME14 5RB,England,West Kent,0.541146,51.282597
IP13 7LB,England,Suffolk,1.314592,52.194363
WA10 3UH,England,Halton and St Helens,-2.752453,53.44866
WF17 9LP,England,Kirklees,-1.652509,53.739591
BT36 6YF,Northern Ireland,Northern,-5.945913,54.680055
NG32 1TD,England,Lincolnshire Teaching,-0.687537,52.912785
CA4 8BN,England,Cumbria Teaching,-2.875288,54.893499
TQ12 2BL,England,Devon,-3.603732,50.532309
SA61 1NX,Wales,Hywel Dda University Health Board,-4.973231,51.796033
PO12 3UU,England,Hampshire,-1.141677,50.800326
HP18 0DR,England,Buckinghamshire,-0.961551,51.791338
CM13 2RP,England,South West Essex,0.34988,51.62893
WS7 0BT,England,South Staffordshire,-1.91559,52.678697
SM7 3AA,England,Surrey,-0.194539,51.324655
BT32 3RZ,Northern Ireland,Southern,-6.12715,54.357412
IP2 8JQ,England,Suffolk,1.156141,52.048541
N1 3NL,England,Islington,-0.087594,51.54451
TN16 1BH,England,West Kent,0.074818,51.26824
WS4 2HJ,England,Walsall Teaching,-1.958962,52.593713
M22 4ER,England,Manchester Teaching,-2.257179,53.411276
CF23 9JN,Wales,Cardiff and Vale University Health Board,-3.151058,51.508333
AB54 4YP,Scotland,Aberdeenshire Community Health Partnership,-2.97878,57.404293
EX14 3JA,England,Devon,-3.303803,50.822866
PE11 4DH,England,Lincolnshire Teaching,-0.105603,52.844509
OX13 6SJ,England,Oxfordshire,-1.32828,51.620898
NG15 9EE,England,Nottinghamshire County Teaching,-1.158769,53.08407
LA5 9UR,England,North Lancashire Teaching,-2.778352,54.125875
HU12 8SA,England,East Riding of Yorkshire,-0.201383,53.758871
NG11 7FA,England,Nottingham City,-1.159192,52.933446
MK3 5FH,England,Milton Keynes,-0.732873,51.972449
TN38 9BS,England,Hastings and Rother,0.547322,50.870071
BR2 6HD,England,Bromley,0.036747,51.363586
YO25 6DH,England,East Riding of Yorkshire,-0.437655,54.007228
L8 0XX,England,Liverpool,-2.950498,53.392443
BT78 4JU,Northern Ireland,Western,-7.361425,54.720581
CH60 1XR,England,Wirral,-3.075796,53.323997
NG18 9SZ,England,Nottinghamshire County Teaching,-1.204905,53.151114
TS20 1SN,England,Stockton-on-Tees Teaching,-1.31672,54.598153
CF14 5BR,Wales,Cardiff and Vale University Health Board,-3.199801,51.531772
CV4 9FA,England,Coventry Teaching,-1.602349,52.414888
NR7 9LN,England,Norfolk,1.3462,52.642719
SE16 6XE,England,Southwark,-0.045657,51.50034
WV4 5TT,England,Wolverhampton City,-2.143966,52.567939
ST3 2ET,England,Stoke on Trent,-2.150285,52.981863
NG23 6LT,England,Nottinghamshire County Teaching,-0.869995,53.190496
CM13 2XA,England,South West Essex,0.335242,51.626955
GL15 5DJ,England,Gloucestershire,-2.535231,51.723573
ST6 2LA,England,Stoke on Trent,-2.182399,53.038764
CR8 2HS,England,Croydon,-0.115813,51.325034
BH1 2PR,England,Bournemouth and Poole Teaching,-1.866716,50.721222
WA5 2JS,England,Warrington,-2.646871,53.382241
L38 9EY,England,Sefton,-3.05982,53.518743
W11 2LX,England,Kensington and Chelsea,-0.207585,51.510714
NE33 5PX,England,South Tyneside,-1.435371,54.984856
LA23 1PT,England,Cumbria Teaching,-2.912959,54.386854
GL20 8AB,England,Gloucestershire,-2.146851,51.995022
IP19 0AA,England,Suffolk,1.425218,52.348763
WR4 0DA,England,Worcestershire,-2.181479,52.212464
SL4 2QG,England,Berkshire East,-0.587559,51.458364
CM12 9XG,England,South West Essex,0.407762,51.629681
PO21 3AY,England,West Sussex,-0.709961,50.783312
TS7 8HZ,England,Middlesbrough,-1.200788,54.529321
PO11 9LZ,England,Hampshire,-0.964447,50.78137
AB25 3PZ,Scotland,Aberdeen City Community Health Partnership,-2.114275,57.15987
TR7 1TH,England,Cornwall and Isles of Scilly,-5.108221,50.411277
DG11 3AA,Scotland,Dumfries and Galloway Community Health Partnership,-3.191579,55.055303
HU7 4ED,England,Hull Teaching,-0.321537,53.786413
BT60 2BJ,Northern Ireland,Southern,-6.585701,54.295727
WS9 0PP,England,Walsall Teaching,-1.888708,52.588067
KY8 5QS,Scotland,Kirkcaldy and Levenmouth Community Health Partnership,-2.911709,56.232276
CM22 7FB,England,West Essex,0.205947,51.817188
WN2 3HF,England,"Ashton, Leigh and Wigan",-2.581628,53.5323
PH10 6ET,Scotland,Perth and Kinross Community Health Partnership,-3.339445,56.592716
ME12 2LR,England,Eastern and Coastal Kent,0.811996,51.427224
CV31 1NY,England,Warwickshire,-1.513652,52.281914
PO37 7EF,England,Isle of Wight National Health Service,-1.179076,50.642546
AB25 2NH,Scotland,Aberdeen City Community Health Partnership,-2.121804,57.148937
KT15 2BT,England,Surrey,-0.489292,51.367144
SG5 3RG,England,Hertfordshire,-0.332266,51.972313
TN12 0RJ,England,West Kent,0.54677,51.18849
FY1 6NZ,England,Blackpool,-3.049229,53.805519
BT3 9HJ,Northern Ireland,Belfast,-5.91259,54.625683
LN3 5BL,England,Lincolnshire Teaching,-0.407497,53.286617
LL15 1HL,Wales,Betsi Cadwaladr University Health Board,-3.314191,53.112783
LE16 8BN,England,Leicestershire County and Rutland,-0.91725,52.4751
CV21 4NR,England,Warwickshire,-1.214393,52.36148
BL3 6DE,England,Bolton Teaching,-2.42569,53.572785
DT6 5RS,England,Dorset,-2.76441,50.738665
LE11 5BU,England,Leicestershire County and Rutland,-1.208664,52.772395
NN14 6TN,England,Northamptonshire Teaching,-0.784751,52.423934
CH2 1PP,England,Western Cheshire,-2.869642,53.211635
PE12 0SU,England,Lincolnshire Teaching,-0.05523,52.727116
NP23 5ED,Wales,Aneurin Bevan University Health Board,-3.212016,51.803851
WA4 5LE,England,Warrington,-2.589214,53.354836
SO23 3SE,England,Hampshire,-1.311328,51.061072
N4 1QE,England,Haringey Teaching,-0.089198,51.576442
NE11 9EX,England,Gateshead,-1.645746,54.95525
LA8 9PS,England,Cumbria Teaching,-2.832569,54.377334
EX22 7BD,England,Devon,-4.376644,50.832154
PE12 9JQ,England,Lincolnshire Teaching,0.119398,52.790116
DE7 8TG,England,Derbyshire County,-1.318049,52.987941
FK7 7XS,Scotland,Stirling Community Health Partnership,-3.913828,56.098041
OX2 6SS,England,Oxfordshire,-1.256721,51.767805
CH8 9AJ,Wales,Betsi Cadwaladr University Health Board,-3.280164,53.293832
HU10 6SD,England,East Riding of Yorkshire,-0.431065,53.752803
LE9 9LP,England,Leicestershire County and Rutland,-1.340934,52.628504
CB8 0TH,England,Cambridgeshire,0.3526,52.226587
BS36 2WA,England,South Gloucestershire,-2.477078,51.525547
SA19 9EH,Wales,Hywel Dda University Health Board,-3.878271,51.937249
FK10 3JT,Scotland,Clackmannanshire Community Health Partnership,-3.778647,56.128862
W12 8JN,England,Hammersmith and Fulham,-0.232622,51.505124
BN26 5AZ,England,East Sussex Downs and Weald,0.251793,50.819627
CW8 1QH,England,Central and Eastern Cheshire,-2.545304,53.246928
SS8 8LB,England,South East Essex,0.608533,51.522793
N20 2AY,England,Barnet,-0.173771,51.629749
PR2 1TB,England,Central Lancashire,-2.750763,53.771303
NN17 2QY,England,Northamptonshire Teaching,-0.716225,52.500169
IV12 5NL,Scotland,Highland Health and Social Care Partnership,-3.89341,57.574148
NR31 0BH,England,Great Yarmouth and Waveney,1.717796,52.60604
WS9 0DJ,England,Walsall Teaching,-1.92563,52.601806
LN6 3RH,England,Lincolnshire Teaching,-0.60127,53.205264
SG18 9UA,England,Bedfordshire,-0.266811,52.051771
M11 3FF,England,Manchester Teaching,-2.202812,53.484206
G53 7BY,Scotland,Glasgow City Community Health Partnership,-4.368746,55.829668
BN11 5BJ,England,West Sussex,-0.393246,50.815721
DA17 5JT,England,Bexley,0.145943,51.481288
TS27 4QW,England,County Durham,-1.290991,54.745309
LE3 0DG,England,Leicester City,-1.149546,52.624822
NE28 9BF,England,North Tyneside,-1.519652,55.006551
GU14 8RF,England,Hampshire,-0.775803,51.301581
NW10 3UN,England,Brent Teaching,-0.241962,51.540109
PH23 3AA,Scotland,Highland Health and Social Care Partnership,-3.812382,57.280628
TN11 8NG,England,West Kent,0.221617,51.229014
PH10 6LQ,Scotland,Perth and Kinross Community Health Partnership,-3.344353,56.57456
E17 5DT,England,Waltham Forest,-0.027275,51.599717
DL16 7BD,England,County Durham,-1.656106,54.701367
RH20 2YE,England,West Sussex,-0.50279,50.957334
GU22 9PW,England,Surrey,-0.563065,51.301736
BL3 6ST,England,Bolton Teaching,-2.436075,53.568143
BT10 0EA,Northern Ireland,Belfast,-5.975878,54.559892
BN3 4LJ,England,Brighton and Hove City,-0.194747,50.82745
YO12 5ER,England,North Yorkshire and York,-0.414216,54.2785
CW12 4PL,England,Central and Eastern Cheshire,-2.241478,53.165
IG3 9JP,England,Redbridge,0.095236,51.55895
EH52 6LZ,Scotland,West Lothian Community Health and Care Partnership,-3.535499,55.92275
KT15 1EN,England,Surrey,-0.512377,51.360057
PE30 1AN,England,Norfolk,0.397879,52.755348
SA1 4PS,Wales,Swansea Bay University Health Board,-3.961311,51.618116
CB8 8HE,England,Suffolk,0.410906,52.24192
HX2 6UU,England,Calderdale,-1.950149,53.736012
HG1 3HZ,England,North Yorkshire and York,-1.547494,54.009831
LE21 4DS,England,Leicester City,-1.124996,52.632105
HU1 3AR,England,Hull Teaching,-0.338636,53.744135
SA9 2XF,Wales,Powys Teaching Health Board,-3.804012,51.787166
RH20 2WF,England,West Sussex,-0.502766,50.957328
BL3 2AU,England,Bolton Teaching,-2.423633,53.564936
BT24 8NT,Northern Ireland,South Eastern,-5.849665,54.343026
DY4 0TF,England,Sandwell,-2.058802,52.541187
LE9 9QN,England,Leicestershire County and Rutland,-1.298782,52.628612
GL51 7AL,England,Gloucestershire,-2.104967,51.89695
W1S 1HQ,England,Westminster,-0.143094,51.513919
IV53 8UR,Scotland,Highland Health and Social Care Partnership,-5.573994,57.341072
BR1 4AS,England,Bromley,0.002299,51.414019
CH5 3NW,Wales,Betsi Cadwaladr University Health Board,-3.05173,53.180475
HP10 9RN,England,Buckinghamshire,-0.697141,51.611372
SP5 1RT,England,Wiltshire,-1.662943,51.094878
PA14 6HG,Scotland,Inverclyde Community Health and Care Partnership,-4.65912,55.92379
TN15 7SA,England,West Kent,0.347289,51.29671
TF2 0EA,England,Telford and Wrekin,-2.462482,52.687119
IP33 3PS,England,Suffolk,0.710879,52.242073
OX10 9HD,England,Oxfordshire,-1.144256,51.578457
CM16 7QX,England,West Essex,0.13676,51.704116
CM3 1ES,England,Mid Essex,0.454513,51.794697
HD9 3EH,England,Kirklees,-1.791818,53.583375
DN12 3PZ,England,Doncaster,-1.251871,53.479225
E16 3NS,England,Newham,0.029049,51.51363
BH22 0NF,England,Dorset,-1.890196,50.839571
KT15 2BH,England,Surrey,-0.490757,51.371507
BS20 6YH,England,North Somerset,-2.761453,51.478493
ZE2 9GY,Scotland,Shetland Community Health Partnership,-1.276999,59.963956
CV21 2XL,England,Warwickshire,-1.259456,52.373323
TS20 2SE,England,Stockton-on-Tees Teaching,-1.305654,54.588986
NG5 1FP,England,Nottingham City,-1.161572,52.981988
BT66 7DG,Northern Ireland,Southern,-6.317494,54.455822
DL14 0ED,England,County Durham,-1.734819,54.666597
CH65 9EX,England,Western Cheshire,-2.890618,53.267059
LS14 6SN,England,Leeds,-1.47811,53.812095
N9 8LU,England,Enfield,-0.046154,51.629094
CB23 6FW,England,Cambridgeshire,-0.054571,52.214252
NE20 9TU,England,Northumberland,-1.715947,55.046581
BH23 7HE,England,Dorset,-1.771234,50.751002
HP7 0HT,England,Buckinghamshire,-0.616141,51.665754
CT14 8HZ,England,Eastern and Coastal Kent,1.355954,51.19699
NR2 4EU,England,Norfolk,1.271279,52.63671
LE2 5WD,England,Leicestershire County and Rutland,-1.077829,52.587983
NW2 6JY,England,Brent Teaching,-0.227833,51.561936
AL3 7BN,England,Hertfordshire,-0.399506,51.801387
CM1 6XY,England,Mid Essex,0.501339,51.748745
TA24 8QB,England,Somerset,-3.592983,51.209306
HP23 5DS,England,Hertfordshire,-0.658682,51.802183
NP22 5EZ,Wales,Aneurin Bevan University Health Board,-3.29159,51.764997
GU25 4LZ,England,Surrey,-0.58928,51.393156
CB6 3FJ,England,Cambridgeshire,0.241177,52.396096
BL2 1BX,England,Bolton Teaching,-2.421234,53.57574
DT10 1AZ,England,Dorset,-2.299804,50.929916
CT2 8BZ,England,Eastern and Coastal Kent,1.07197,51.283515
LE5 6TR,England,Leicester City,-1.074495,52.631299
BD10 8SU,England,Bradford and Airedale Teaching,-1.734039,53.827375
PL26 6HX,England,Cornwall and Isles of Scilly,-4.797105,50.242863
LS27 8FD,England,Leeds,-1.594832,53.745169
DA11 0QP,England,West Kent,0.366438,51.436548
WN7 5HR,England,"Ashton, Leigh and Wigan",-2.540828,53.510623
IG10 2QU,England,West Essex,0.070326,51.657448
BD7 3PH,England,Bradford and Airedale Teaching,-1.785915,53.777105
BT71 4LF,Northern Ireland,Southern,-6.698971,54.536618
WR11 9DN,England,Worcestershire,-1.947098,52.095141
NE5 3XR,England,Newcastle,-1.663125,54.99828
DH7 6AL,England,County Durham,-1.63298,54.823678
SO16 5AJ,England,Southampton City,-1.443954,50.934312
SY11 2JW,England,Shropshire County,-3.049269,52.859542
CV5 7LU,England,Coventry Teaching,-1.572638,52.415542
LL19 9UH,Wales,Betsi Cadwaladr University Health Board,-3.361653,53.337383
RG22 5SN,England,Hampshire,-1.126524,51.247218
DL6 3NQ,England,North Yorkshire and York,-1.308607,54.399743
S10 4QA,England,Sheffield,-1.565063,53.359239
WV4 5LR,England,Wolverhampton City,-2.166992,52.555278
PO22 6RG,England,West Sussex,-0.626851,50.797705
EX6 7HE,England,Devon,-3.676702,50.687472
SL1 2YF,England,Berkshire East,-0.621756,51.511015
TR8 5RW,England,Cornwall and Isles of Scilly,-5.108914,50.401651
SA12 9PD,Wales,Swansea Bay University Health Board,-3.762463,51.618982
TN4 8SF,England,West Kent,0.225898,51.136904
WA3 3GE,England,"Ashton, Leigh and Wigan",-2.603076,53.484159
NR8 6YA,England,Norfolk,1.216242,52.689049
CW8 4PF,England,Central and Eastern Cheshire,-2.555021,53.274099
WS2 0HA,England,Walsall Teaching,-2.026571,52.590148
HP12 4UA,England,Buckinghamshire,-0.78078,51.616568
OL1 4SL,England,Oldham,-2.074817,53.563992
NR3 3PT,England,Norfolk,1.288305,52.653794
CT9 4FJ,England,Eastern and Coastal Kent,1.387783,51.359721
TW16 9DG,England,Surrey,-0.421038,51.420056
GL5 2JE,England,Gloucestershire,-2.210432,51.741642
CV23 0QF,England,Warwickshire,-1.301387,52.433139
B70 6NZ,England,Sandwell,-1.987351,52.514966
G12 0BT,Scotland,Glasgow City Community Health Partnership,-4.316182,55.88796
W1U 2SJ,England,Westminster,-0.150655,51.516206
PL8 2NZ,England,Devon,-4.039353,50.349043
B26 3HH,England,Birmingham East and North,-1.795719,52.457563
CH45 8JF,England,Wirral,-3.077244,53.424302
TN23 9TR,England,Eastern and Coastal Kent,0.878245,51.146271
LN7 6UA,England,Lincolnshire Teaching,-0.313116,53.497062
M25 9ND,England,Bury,-2.279003,53.525712
TA21 8DY,England,Somerset,-3.21771,50.970577
GL8 8PY,England,Gloucestershire,-2.171959,51.59996
UB1 2PG,England,Ealing,-0.368727,51.530124
HU10 6AH,England,East Riding of Yorkshire,-0.439221,53.755527
ME5 9PQ,England,West Kent,0.527493,51.329327
E10 5JW,England,Waltham Forest,-0.010251,51.57352
AB10 7LL,Scotland,Aberdeen City Community Health Partnership,-2.118384,57.128612
B11 4AL,England,Heart of Birmingham Teaching,-1.86505,52.452241
NP20 3GF,Wales,Aneurin Bevan University Health Board,-3.010996,51.576532
PO4 8DE,England,Portsmouth City Teaching,-1.061987,50.792374
BA2 5SG,England,Bath and North East Somerset,-2.358519,51.352854
M23 0DY,England,Manchester Teaching,-2.272238,53.411369
LE18 3QY,England,Leicestershire County and Rutland,-1.100117,52.582221
