firstname,freq,sex,race
condeladio,0.00070922,male,American Indian or Native Alaskan
conner,0.00070922,male,American Indian or Native Alaskan
cordero,0.00070922,male,American Indian or Native Alaskan
corie,0.00070922,male,American Indian or Native Alaskan
couric,0.00070922,male,American Indian or Native Alaskan
courtlandt,0.00070922,male,American Indian or Native Alaskan
coyote-cache,0.00070922,male,American Indian or Native Alaskan
crue,0.00070922,male,American Indian or Native Alaskan
cuauhtemoc,0.00070922,male,American Indian or Native Alaskan
cyrus,0.00070922,male,American Indian or Native Alaskan
dah'som,0.00070922,male,American Indian or Native Alaskan
dallen,0.00070922,male,American Indian or Native Alaskan
dalton,0.00070922,male,American Indian or Native Alaskan
dameion,0.00070922,male,American Indian or Native Alaskan
damien,0.00070922,male,American Indian or Native Alaskan
damion,0.00070922,male,American Indian or Native Alaskan
dandrew,0.00070922,male,American Indian or Native Alaskan
darias,0.00070922,male,American Indian or Native Alaskan
daris,0.00070922,male,American Indian or Native Alaskan
darrick,0.00070922,male,American Indian or Native Alaskan
darrien,0.00070922,male,American Indian or Native Alaskan
darrin,0.00070922,male,American Indian or Native Alaskan
darwyn,0.00070922,male,American Indian or Native Alaskan
dashawn,0.00070922,male,American Indian or Native Alaskan
davidray,0.00070922,male,American Indian or Native Alaskan
davier,0.00070922,male,American Indian or Native Alaskan
davis,0.00070922,male,American Indian or Native Alaskan
deangelo,0.00070922,male,American Indian or Native Alaskan
decarlo,0.00070922,male,American Indian or Native Alaskan
dekota,0.00070922,male,American Indian or Native Alaskan
deljerro,0.00070922,male,American Indian or Native Alaskan
delray,0.00070922,male,American Indian or Native Alaskan
demetrius,0.00070922,male,American Indian or Native Alaskan
dennison,0.00070922,male,American Indian or Native Alaskan
denver,0.00070922,male,American Indian or Native Alaskan
derrik,0.00070922,male,American Indian or Native Alaskan
destin,0.00070922,male,American Indian or Native Alaskan
deven,0.00070922,male,American Indian or Native Alaskan
devlin,0.00070922,male,American Indian or Native Alaskan
devyn,0.00070922,male,American Indian or Native Alaskan
dewarren,0.00070922,male,American Indian or Native Alaskan
dilan,0.00070922,male,American Indian or Native Alaskan
dmitri,0.00070922,male,American Indian or Native Alaskan
donald,0.00070922,male,American Indian or Native Alaskan
donovon,0.00070922,male,American Indian or Native Alaskan
drew,0.00070922,male,American Indian or Native Alaskan
drue,0.00070922,male,American Indian or Native Alaskan
dustyn,0.00070922,male,American Indian or Native Alaskan
dwayne,0.00070922,male,American Indian or Native Alaskan
dwight,0.00070922,male,American Indian or Native Alaskan
dyami,0.00070922,male,American Indian or Native Alaskan
dyllan,0.00070922,male,American Indian or Native Alaskan
dyllon,0.00070922,male,American Indian or Native Alaskan
eamon,0.00070922,male,American Indian or Native Alaskan
edison,0.00070922,male,American Indian or Native Alaskan
eduardo,0.00070922,male,American Indian or Native Alaskan
edwin,0.00070922,male,American Indian or Native Alaskan
elii,0.00070922,male,American Indian or Native Alaskan
elizario,0.00070922,male,American Indian or Native Alaskan
elliott,0.00070922,male,American Indian or Native Alaskan
elroy,0.00070922,male,American Indian or Native Alaskan
erik,0.00070922,male,American Indian or Native Alaskan
erminio,0.00070922,male,American Indian or Native Alaskan
ethen,0.00070922,male,American Indian or Native Alaskan
everett,0.00070922,male,American Indian or Native Alaskan
ezequiel,0.00070922,male,American Indian or Native Alaskan
ezra,0.00070922,male,American Indian or Native Alaskan
fanio,0.00070922,male,American Indian or Native Alaskan
farley,0.00070922,male,American Indian or Native Alaskan
farrell,0.00070922,male,American Indian or Native Alaskan
fidal,0.00070922,male,American Indian or Native Alaskan
francesco,0.00070922,male,American Indian or Native Alaskan
franciszek,0.00070922,male,American Indian or Native Alaskan
fred,0.00070922,male,American Indian or Native Alaskan
frederico,0.00070922,male,American Indian or Native Alaskan
gabe,0.00070922,male,American Indian or Native Alaskan
galen,0.00070922,male,American Indian or Native Alaskan
garitt,0.00070922,male,American Indian or Native Alaskan
garrett,0.00070922,male,American Indian or Native Alaskan
gary,0.00070922,male,American Indian or Native Alaskan
gericko,0.00070922,male,American Indian or Native Alaskan
glen,0.00070922,male,American Indian or Native Alaskan
govanni,0.00070922,male,American Indian or Native Alaskan
grant,0.00070922,male,American Indian or Native Alaskan
grayson,0.00070922,male,American Indian or Native Alaskan
gurinder,0.00070922,male,American Indian or Native Alaskan
haden,0.00070922,male,American Indian or Native Alaskan
hament,0.00070922,male,American Indian or Native Alaskan
harley,0.00070922,male,American Indian or Native Alaskan
harrison,0.00070922,male,American Indian or Native Alaskan
herman,0.00070922,male,American Indian or Native Alaskan
hershel,0.00070922,male,American Indian or Native Alaskan
iaasic,0.00070922,male,American Indian or Native Alaskan
ignacio,0.00070922,male,American Indian or Native Alaskan
indigo,0.00070922,male,American Indian or Native Alaskan
ira,0.00070922,male,American Indian or Native Alaskan
irquois,0.00070922,male,American Indian or Native Alaskan
ishi,0.00070922,male,American Indian or Native Alaskan
isiah,0.00070922,male,American Indian or Native Alaskan
issac,0.00070922,male,American Indian or Native Alaskan
istiaq,0.00070922,male,American Indian or Native Alaskan
ivan,0.00070922,male,American Indian or Native Alaskan
izaak,0.00070922,male,American Indian or Native Alaskan
jabril,0.00070922,male,American Indian or Native Alaskan
jace,0.00070922,male,American Indian or Native Alaskan
jackie,0.00070922,male,American Indian or Native Alaskan
jagger,0.00070922,male,American Indian or Native Alaskan
jaimin,0.00070922,male,American Indian or Native Alaskan
jake,0.00070922,male,American Indian or Native Alaskan
jakeob,0.00070922,male,American Indian or Native Alaskan
jakoby,0.00070922,male,American Indian or Native Alaskan
jalen,0.00070922,male,American Indian or Native Alaskan
jamile,0.00070922,male,American Indian or Native Alaskan
jarrett,0.00070922,male,American Indian or Native Alaskan
jaspar,0.00070922,male,American Indian or Native Alaskan
jasper,0.00070922,male,American Indian or Native Alaskan
javier-luis,0.00070922,male,American Indian or Native Alaskan
javonte,0.00070922,male,American Indian or Native Alaskan
jayden,0.00070922,male,American Indian or Native Alaskan
jd,0.00070922,male,American Indian or Native Alaskan
jensen,0.00070922,male,American Indian or Native Alaskan
jeovanni,0.00070922,male,American Indian or Native Alaskan
jerald,0.00070922,male,American Indian or Native Alaskan
jeramiah,0.00070922,male,American Indian or Native Alaskan
jericho,0.00070922,male,American Indian or Native Alaskan
jerod,0.00070922,male,American Indian or Native Alaskan
jerry,0.00070922,male,American Indian or Native Alaskan
jerum,0.00070922,male,American Indian or Native Alaskan
jesus,0.00070922,male,American Indian or Native Alaskan
joel,0.00070922,male,American Indian or Native Alaskan
john-wesley,0.00070922,male,American Indian or Native Alaskan
johnathan,0.00070922,male,American Indian or Native Alaskan
johnpaul,0.00070922,male,American Indian or Native Alaskan
jonah,0.00070922,male,American Indian or Native Alaskan
jordahn,0.00070922,male,American Indian or Native Alaskan
jordyn andrew,0.00070922,male,American Indian or Native Alaskan
josiah,0.00070922,male,American Indian or Native Alaskan
jowan,0.00070922,male,American Indian or Native Alaskan
judah,0.00070922,male,American Indian or Native Alaskan
justice,0.00070922,male,American Indian or Native Alaskan
kai,0.00070922,male,American Indian or Native Alaskan
kaldurion,0.00070922,male,American Indian or Native Alaskan
kameron,0.00070922,male,American Indian or Native Alaskan
karlos,0.00070922,male,American Indian or Native Alaskan
kayle,0.00070922,male,American Indian or Native Alaskan
keaanee,0.00070922,male,American Indian or Native Alaskan
keeman,0.00070922,male,American Indian or Native Alaskan
keenan,0.00070922,male,American Indian or Native Alaskan
keifer,0.00070922,male,American Indian or Native Alaskan
keili,0.00070922,male,American Indian or Native Alaskan
kelton,0.00070922,male,American Indian or Native Alaskan
kelvin,0.00070922,male,American Indian or Native Alaskan
kincaid,0.00070922,male,American Indian or Native Alaskan
kiowa,0.00070922,male,American Indian or Native Alaskan
klayson,0.00070922,male,American Indian or Native Alaskan
koi,0.00070922,male,American Indian or Native Alaskan
kolten,0.00070922,male,American Indian or Native Alaskan
kona,0.00070922,male,American Indian or Native Alaskan
konda,0.00070922,male,American Indian or Native Alaskan
konray,0.00070922,male,American Indian or Native Alaskan
kraig,0.00070922,male,American Indian or Native Alaskan
kristopher,0.00070922,male,American Indian or Native Alaskan
kursh,0.00070922,male,American Indian or Native Alaskan
landon,0.00070922,male,American Indian or Native Alaskan
lane,0.00070922,male,American Indian or Native Alaskan
lars,0.00070922,male,American Indian or Native Alaskan
laten,0.00070922,male,American Indian or Native Alaskan
lathan,0.00070922,male,American Indian or Native Alaskan
lawrence,0.00070922,male,American Indian or Native Alaskan
leander,0.00070922,male,American Indian or Native Alaskan
lee,0.00070922,male,American Indian or Native Alaskan
leo,0.00070922,male,American Indian or Native Alaskan
leon hunter,0.00070922,male,American Indian or Native Alaskan
levi,0.00070922,male,American Indian or Native Alaskan
liukura,0.00070922,male,American Indian or Native Alaskan
lloyd,0.00070922,male,American Indian or Native Alaskan
lorenzo,0.00070922,male,American Indian or Native Alaskan
louie,0.00070922,male,American Indian or Native Alaskan
luis,0.00070922,male,American Indian or Native Alaskan
macey,0.00070922,male,American Indian or Native Alaskan
macy,0.00070922,male,American Indian or Native Alaskan
mahpiya,0.00070922,male,American Indian or Native Alaskan
malachai,0.00070922,male,American Indian or Native Alaskan
malachi,0.00070922,male,American Indian or Native Alaskan
malakye,0.00070922,male,American Indian or Native Alaskan
manuelito,0.00070922,male,American Indian or Native Alaskan
marc,0.00070922,male,American Indian or Native Alaskan
marcello,0.00070922,male,American Indian or Native Alaskan
marcos,0.00070922,male,American Indian or Native Alaskan
mareno,0.00070922,male,American Indian or Native Alaskan
markangelo,0.00070922,male,American Indian or Native Alaskan
marques,0.00070922,male,American Indian or Native Alaskan
marquis,0.00070922,male,American Indian or Native Alaskan
mathew,0.00070922,male,American Indian or Native Alaskan
mato ty,0.00070922,male,American Indian or Native Alaskan
menandez,0.00070922,male,American Indian or Native Alaskan
meske,0.00070922,male,American Indian or Native Alaskan
micah,0.00070922,male,American Indian or Native Alaskan
michaeli,0.00070922,male,American Indian or Native Alaskan
michel,0.00070922,male,American Indian or Native Alaskan
mikal,0.00070922,male,American Indian or Native Alaskan
miles,0.00070922,male,American Indian or Native Alaskan
milton,0.00070922,male,American Indian or Native Alaskan
montana,0.00070922,male,American Indian or Native Alaskan
morgun,0.00070922,male,American Indian or Native Alaskan
myron,0.00070922,male,American Indian or Native Alaskan
navar,0.00070922,male,American Indian or Native Alaskan
navro,0.00070922,male,American Indian or Native Alaskan
neil,0.00070922,male,American Indian or Native Alaskan
neulyn,0.00070922,male,American Indian or Native Alaskan
nick,0.00070922,male,American Indian or Native Alaskan
nicklos,0.00070922,male,American Indian or Native Alaskan
nickolas,0.00070922,male,American Indian or Native Alaskan
nicolas,0.00070922,male,American Indian or Native Alaskan
nigel,0.00070922,male,American Indian or Native Alaskan
niko,0.00070922,male,American Indian or Native Alaskan
noe,0.00070922,male,American Indian or Native Alaskan
ocean,0.00070922,male,American Indian or Native Alaskan
olie,0.00070922,male,American Indian or Native Alaskan
olivet,0.00070922,male,American Indian or Native Alaskan
orin,0.00070922,male,American Indian or Native Alaskan
orson,0.00070922,male,American Indian or Native Alaskan
osue,0.00070922,male,American Indian or Native Alaskan
othell,0.00070922,male,American Indian or Native Alaskan
otoniel,0.00070922,male,American Indian or Native Alaskan
oyate,0.00070922,male,American Indian or Native Alaskan
pablo,0.00070922,male,American Indian or Native Alaskan
payne,0.00070922,male,American Indian or Native Alaskan
pedro,0.00070922,male,American Indian or Native Alaskan
pelle,0.00070922,male,American Indian or Native Alaskan
phanath,0.00070922,male,American Indian or Native Alaskan
pharo,0.00070922,male,American Indian or Native Alaskan
phayd,0.00070922,male,American Indian or Native Alaskan
philman,0.00070922,male,American Indian or Native Alaskan
phoenix,0.00070922,male,American Indian or Native Alaskan
prettyboy,0.00070922,male,American Indian or Native Alaskan
quaton,0.00070922,male,American Indian or Native Alaskan
quinn,0.00070922,male,American Indian or Native Alaskan
quinten,0.00070922,male,American Indian or Native Alaskan
rafael,0.00070922,male,American Indian or Native Alaskan
randal,0.00070922,male,American Indian or Native Alaskan
rashaan,0.00070922,male,American Indian or Native Alaskan
raul,0.00070922,male,American Indian or Native Alaskan
reece,0.00070922,male,American Indian or Native Alaskan
regal,0.00070922,male,American Indian or Native Alaskan
reginald,0.00070922,male,American Indian or Native Alaskan
rhemedio,0.00070922,male,American Indian or Native Alaskan
ricardo,0.00070922,male,American Indian or Native Alaskan
ricky,0.00070922,male,American Indian or Native Alaskan
rillard,0.00070922,male,American Indian or Native Alaskan
rito,0.00070922,male,American Indian or Native Alaskan
rodney,0.00070922,male,American Indian or Native Alaskan
rory,0.00070922,male,American Indian or Native Alaskan
royal,0.00070922,male,American Indian or Native Alaskan
ruben,0.00070922,male,American Indian or Native Alaskan
rylee,0.00070922,male,American Indian or Native Alaskan
saige,0.00070922,male,American Indian or Native Alaskan
savon,0.00070922,male,American Indian or Native Alaskan
schuyler,0.00070922,male,American Indian or Native Alaskan
scott,0.00070922,male,American Indian or Native Alaskan
scottie,0.00070922,male,American Indian or Native Alaskan
sequoya,0.00070922,male,American Indian or Native Alaskan
sereno,0.00070922,male,American Indian or Native Alaskan
shadow,0.00070922,male,American Indian or Native Alaskan
shauntino,0.00070922,male,American Indian or Native Alaskan
sheldon,0.00070922,male,American Indian or Native Alaskan
shenandoah,0.00070922,male,American Indian or Native Alaskan
shikoni,0.00070922,male,American Indian or Native Alaskan
silvano,0.00070922,male,American Indian or Native Alaskan
sir'renio,0.00070922,male,American Indian or Native Alaskan
skye,0.00070922,male,American Indian or Native Alaskan
smokey,0.00070922,male,American Indian or Native Alaskan
sonny,0.00070922,male,American Indian or Native Alaskan
soryn,0.00070922,male,American Indian or Native Alaskan
stefan,0.00070922,male,American Indian or Native Alaskan
stephon,0.00070922,male,American Indian or Native Alaskan
sterling,0.00070922,male,American Indian or Native Alaskan
sullivan,0.00070922,male,American Indian or Native Alaskan
sylis,0.00070922,male,American Indian or Native Alaskan
symon,0.00070922,male,American Indian or Native Alaskan
tabeion,0.00070922,male,American Indian or Native Alaskan
tahma,0.00070922,male,American Indian or Native Alaskan
taju,0.00070922,male,American Indian or Native Alaskan
tallon,0.00070922,male,American Indian or Native Alaskan
talon,0.00070922,male,American Indian or Native Alaskan
tam,0.00070922,male,American Indian or Native Alaskan
tarquin,0.00070922,male,American Indian or Native Alaskan
tazz,0.00070922,male,American Indian or Native Alaskan
terry,0.00070922,male,American Indian or Native Alaskan
tevin,0.00070922,male,American Indian or Native Alaskan
thaine,0.00070922,male,American Indian or Native Alaskan
thaylor,0.00070922,male,American Indian or Native Alaskan
theador,0.00070922,male,American Indian or Native Alaskan
theo,0.00070922,male,American Indian or Native Alaskan
tilden,0.00070922,male,American Indian or Native Alaskan
todd,0.00070922,male,American Indian or Native Alaskan
tokiya,0.00070922,male,American Indian or Native Alaskan
tommy,0.00070922,male,American Indian or Native Alaskan
trae,0.00070922,male,American Indian or Native Alaskan
traivon,0.00070922,male,American Indian or Native Alaskan
tre,0.00070922,male,American Indian or Native Alaskan
trekeith,0.00070922,male,American Indian or Native Alaskan
trent,0.00070922,male,American Indian or Native Alaskan
tristin,0.00070922,male,American Indian or Native Alaskan
tronson,0.00070922,male,American Indian or Native Alaskan
troy,0.00070922,male,American Indian or Native Alaskan
trusten,0.00070922,male,American Indian or Native Alaskan
tsinnijinnie,0.00070922,male,American Indian or Native Alaskan
tucker,0.00070922,male,American Indian or Native Alaskan
tynan,0.00070922,male,American Indian or Native Alaskan
tyrel,0.00070922,male,American Indian or Native Alaskan
urian,0.00070922,male,American Indian or Native Alaskan
vaughn,0.00070922,male,American Indian or Native Alaskan
victor,0.00070922,male,American Indian or Native Alaskan
von buddenbrock,0.00070922,male,American Indian or Native Alaskan
vyncynt,0.00070922,male,American Indian or Native Alaskan
wakiyan,0.00070922,male,American Indian or Native Alaskan
wambli,0.00070922,male,American Indian or Native Alaskan
wanbli,0.00070922,male,American Indian or Native Alaskan
wayne,0.00070922,male,American Indian or Native Alaskan
werner,0.00070922,male,American Indian or Native Alaskan
wesley,0.00070922,male,American Indian or Native Alaskan
westen,0.00070922,male,American Indian or Native Alaskan
westley,0.00070922,male,American Indian or Native Alaskan
wilbert,0.00070922,male,American Indian or Native Alaskan
will,0.00070922,male,American Indian or Native Alaskan
willis,0.00070922,male,American Indian or Native Alaskan
windy,0.00070922,male,American Indian or Native Alaskan
wolfgang,0.00070922,male,American Indian or Native Alaskan
zackarie,0.00070922,male,American Indian or Native Alaskan
zackieus,0.00070922,male,American Indian or Native Alaskan
zakkary,0.00070922,male,American Indian or Native Alaskan
zaquin,0.00070922,male,American Indian or Native Alaskan
zeth,0.00070922,male,American Indian or Native Alaskan
adam,0.00141844,male,American Indian or Native Alaskan
andre,0.00141844,male,American Indian or Native Alaskan
andres,0.00141844,male,American Indian or Native Alaskan
angelo,0.00141844,male,American Indian or Native Alaskan
braxton,0.00141844,male,American Indian or Native Alaskan
brent,0.00141844,male,American Indian or Native Alaskan
bruce,0.00141844,male,American Indian or Native Alaskan
carl,0.00141844,male,American Indian or Native Alaskan
chance,0.00141844,male,American Indian or Native Alaskan
chandler,0.00141844,male,American Indian or Native Alaskan
clayton,0.00141844,male,American Indian or Native Alaskan
collin,0.00141844,male,American Indian or Native Alaskan
colton,0.00141844,male,American Indian or Native Alaskan
cornelius,0.00141844,male,American Indian or Native Alaskan
dale,0.00141844,male,American Indian or Native Alaskan
damian,0.00141844,male,American Indian or Native Alaskan
damon,0.00141844,male,American Indian or Native Alaskan
danny,0.00141844,male,American Indian or Native Alaskan
dean,0.00141844,male,American Indian or Native Alaskan
dennis,0.00141844,male,American Indian or Native Alaskan
dillon,0.00141844,male,American Indian or Native Alaskan
dominick,0.00141844,male,American Indian or Native Alaskan
dominique,0.00141844,male,American Indian or Native Alaskan
dustin,0.00141844,male,American Indian or Native Alaskan
edward,0.00141844,male,American Indian or Native Alaskan
eli,0.00141844,male,American Indian or Native Alaskan
elias,0.00141844,male,American Indian or Native Alaskan
emilio,0.00141844,male,American Indian or Native Alaskan
ethan,0.00141844,male,American Indian or Native Alaskan
fabian,0.00141844,male,American Indian or Native Alaskan
franklin,0.00141844,male,American Indian or Native Alaskan
gavin,0.00141844,male,American Indian or Native Alaskan
geoffrey,0.00141844,male,American Indian or Native Alaskan
gilbert,0.00141844,male,American Indian or Native Alaskan
gregory,0.00141844,male,American Indian or Native Alaskan
hayden,0.00141844,male,American Indian or Native Alaskan
howard,0.00141844,male,American Indian or Native Alaskan
jakob,0.00141844,male,American Indian or Native Alaskan
jeffrey,0.00141844,male,American Indian or Native Alaskan
johnny,0.00141844,male,American Indian or Native Alaskan
jorge,0.00141844,male,American Indian or Native Alaskan
kelly,0.00141844,male,American Indian or Native Alaskan
leroy,0.00141844,male,American Indian or Native Alaskan
logan,0.00141844,male,American Indian or Native Alaskan
louis,0.00141844,male,American Indian or Native Alaskan
mario,0.00141844,male,American Indian or Native Alaskan
martin,0.00141844,male,American Indian or Native Alaskan
mason,0.00141844,male,American Indian or Native Alaskan
matias,0.00141844,male,American Indian or Native Alaskan
maurice,0.00141844,male,American Indian or Native Alaskan
miguel,0.00141844,male,American Indian or Native Alaskan
mitchell,0.00141844,male,American Indian or Native Alaskan
morgan,0.00141844,male,American Indian or Native Alaskan
nathan,0.00141844,male,American Indian or Native Alaskan
nathanial,0.00141844,male,American Indian or Native Alaskan
peter,0.00141844,male,American Indian or Native Alaskan
preston,0.00141844,male,American Indian or Native Alaskan
randall,0.00141844,male,American Indian or Native Alaskan
randy,0.00141844,male,American Indian or Native Alaskan
riley,0.00141844,male,American Indian or Native Alaskan
roger,0.00141844,male,American Indian or Native Alaskan
roman,0.00141844,male,American Indian or Native Alaskan
russell,0.00141844,male,American Indian or Native Alaskan
santos,0.00141844,male,American Indian or Native Alaskan
sebastian,0.00141844,male,American Indian or Native Alaskan
seth,0.00141844,male,American Indian or Native Alaskan
shane,0.00141844,male,American Indian or Native Alaskan
shay,0.00141844,male,American Indian or Native Alaskan
sidney,0.00141844,male,American Indian or Native Alaskan
silas,0.00141844,male,American Indian or Native Alaskan
skylar,0.00141844,male,American Indian or Native Alaskan
tanner,0.00141844,male,American Indian or Native Alaskan
tecumseh,0.00141844,male,American Indian or Native Alaskan
teran,0.00141844,male,American Indian or Native Alaskan
thomas,0.00141844,male,American Indian or Native Alaskan
toby,0.00141844,male,American Indian or Native Alaskan
tony,0.00141844,male,American Indian or Native Alaskan
trevon,0.00141844,male,American Indian or Native Alaskan
tristan,0.00141844,male,American Indian or Native Alaskan
tylor,0.00141844,male,American Indian or Native Alaskan
tyson,0.00141844,male,American Indian or Native Alaskan
uriah,0.00141844,male,American Indian or Native Alaskan
wallace,0.00141844,male,American Indian or Native Alaskan
walter,0.00141844,male,American Indian or Native Alaskan
warren,0.00141844,male,American Indian or Native Alaskan
xavier,0.00141844,male,American Indian or Native Alaskan
alejandro,0.00212766,male,American Indian or Native Alaskan
blake,0.00212766,male,American Indian or Native Alaskan
brenden,0.00212766,male,American Indian or Native Alaskan
brian,0.00212766,male,American Indian or Native Alaskan
bryan,0.00212766,male,American Indian or Native Alaskan
calvin,0.00212766,male,American Indian or Native Alaskan
cameron,0.00212766,male,American Indian or Native Alaskan
chad,0.00212766,male,American Indian or Native Alaskan
chase,0.00212766,male,American Indian or Native Alaskan
cheyenne,0.00212766,male,American Indian or Native Alaskan
connor,0.00212766,male,American Indian or Native Alaskan
corey,0.00212766,male,American Indian or Native Alaskan
dallas,0.00212766,male,American Indian or Native Alaskan
dante,0.00212766,male,American Indian or Native Alaskan
darrell,0.00212766,male,American Indian or Native Alaskan
deion,0.00212766,male,American Indian or Native Alaskan
derek,0.00212766,male,American Indian or Native Alaskan
derrick,0.00212766,male,American Indian or Native Alaskan
devin,0.00212766,male,American Indian or Native Alaskan
draven,0.00212766,male,American Indian or Native Alaskan
duncan,0.00212766,male,American Indian or Native Alaskan
eric,0.00212766,male,American Indian or Native Alaskan
evan,0.00212766,male,American Indian or Native Alaskan
gage,0.00212766,male,American Indian or Native Alaskan
henry,0.00212766,male,American Indian or Native Alaskan
jay,0.00212766,male,American Indian or Native Alaskan
jose,0.00212766,male,American Indian or Native Alaskan
julian,0.00212766,male,American Indian or Native Alaskan
keith,0.00212766,male,American Indian or Native Alaskan
lakota,0.00212766,male,American Indian or Native Alaskan
leonard,0.00212766,male,American Indian or Native Alaskan
lucas,0.00212766,male,American Indian or Native Alaskan
manuel,0.00212766,male,American Indian or Native Alaskan
nico,0.00212766,male,American Indian or Native Alaskan
noah,0.00212766,male,American Indian or Native Alaskan
orion,0.00212766,male,American Indian or Native Alaskan
parker,0.00212766,male,American Indian or Native Alaskan
phillip,0.00212766,male,American Indian or Native Alaskan
raymond,0.00212766,male,American Indian or Native Alaskan
rocky,0.00212766,male,American Indian or Native Alaskan
sean,0.00212766,male,American Indian or Native Alaskan
sky,0.00212766,male,American Indian or Native Alaskan
stephen,0.00212766,male,American Indian or Native Alaskan
elijah,0.002836879,male,American Indian or Native Alaskan
isaac,0.002836879,male,American Indian or Native Alaskan
isaiah,0.002836879,male,American Indian or Native Alaskan
kenneth,0.002836879,male,American Indian or Native Alaskan
lance,0.002836879,male,American Indian or Native Alaskan
luke,0.002836879,male,American Indian or Native Alaskan
paul,0.002836879,male,American Indian or Native Alaskan
sage,0.002836879,male,American Indian or Native Alaskan
shawn,0.002836879,male,American Indian or Native Alaskan
travis,0.002836879,male,American Indian or Native Alaskan
ty,0.002836879,male,American Indian or Native Alaskan
zachary,0.002836879,male,American Indian or Native Alaskan
zachery,0.002836879,male,American Indian or Native Alaskan
bryce,0.003546099,male,American Indian or Native Alaskan
devon,0.003546099,male,American Indian or Native Alaskan
dominic,0.003546099,male,American Indian or Native Alaskan
